,Year,Season,region,Name,Event,Sport
643,1956,Summer,Iran,17,17,['Athletics' 'Wrestling' 'Weightlifting']
644,1956,Summer,Ireland,18,17,['Equestrianism' 'Boxing' 'Athletics' 'Wrestling' 'Sailing']
645,1956,Summer,Israel,3,3,['Athletics' 'Diving' 'Swimming']
646,1956,Summer,Italy,135,80,"['Rowing' 'Fencing' 'Water Polo' 'Cycling' 'Athletics' 'Shooting' 'Boxing'
 'Wrestling' 'Gymnastics' 'Sailing' 'Equestrianism' 'Weightlifting'
 'Swimming' 'Modern Pentathlon']"
647,1956,Summer,Jamaica,6,6,['Athletics']
648,1956,Summer,Japan,112,72,"['Gymnastics' 'Athletics' 'Swimming' 'Basketball' 'Wrestling' 'Diving'
 'Rowing' 'Football' 'Weightlifting' 'Shooting' 'Boxing' 'Equestrianism'
 'Cycling' 'Fencing']"
649,1956,Summer,Kenya,25,10,['Athletics' 'Shooting' 'Hockey' 'Swimming']
650,1956,Summer,Liberia,4,6,['Athletics']
651,1956,Summer,Luxembourg,11,22,['Athletics' 'Cycling' 'Fencing' 'Swimming' 'Gymnastics']
652,1956,Summer,Malaysia,34,14,['Hockey' 'Athletics' 'Weightlifting' 'Shooting' 'Swimming']
653,1956,Summer,Mexico,24,20,"['Athletics' 'Modern Pentathlon' 'Swimming' 'Weightlifting' 'Diving'
 'Cycling' 'Shooting' 'Fencing' 'Rowing' 'Wrestling']"
654,1956,Summer,Myanmar,11,11,['Weightlifting' 'Sailing' 'Athletics' 'Boxing']
655,1956,Summer,Netherlands,1,1,['Equestrianism']
656,1956,Summer,New Zealand,51,28,"['Hockey' 'Sailing' 'Wrestling' 'Cycling' 'Athletics' 'Boxing' 'Rowing'
 'Swimming' 'Weightlifting']"
657,1956,Summer,Nigeria,10,6,['Athletics']
658,1956,Summer,Norway,22,18,['Shooting' 'Athletics' 'Equestrianism' 'Sailing' 'Canoeing' 'Wrestling']
659,1956,Summer,Pakistan,54,43,"['Hockey' 'Wrestling' 'Athletics' 'Weightlifting' 'Shooting' 'Cycling'
 'Swimming' 'Boxing']"
660,1956,Summer,Peru,8,5,['Shooting']
661,1956,Summer,Philippines,39,30,"['Boxing' 'Swimming' 'Wrestling' 'Basketball' 'Athletics' 'Shooting'
 'Weightlifting']"
662,1956,Summer,Poland,64,48,"['Athletics' 'Weightlifting' 'Rowing' 'Boxing' 'Swimming' 'Canoeing'
 'Gymnastics' 'Shooting' 'Fencing']"
663,1956,Summer,Portugal,12,7,['Equestrianism' 'Sailing']
664,1956,Summer,Puerto Rico,10,9,['Athletics' 'Shooting']
665,1956,Summer,Romania,50,39,"['Canoeing' 'Shooting' 'Water Polo' 'Athletics' 'Equestrianism' 'Swimming'
 'Boxing' 'Wrestling' 'Gymnastics' 'Fencing' 'Modern Pentathlon']"
666,1956,Summer,Russia,281,141,"['Water Polo' 'Sailing' 'Rowing' 'Swimming' 'Gymnastics' 'Equestrianism'
 'Wrestling' 'Athletics' 'Football' 'Diving' 'Basketball' 'Shooting'
 'Fencing' 'Weightlifting' 'Boxing' 'Canoeing' 'Cycling'
 'Modern Pentathlon']"
667,1956,Summer,Republic of Serbia,35,16,"['Football' 'Water Polo' 'Swimming' 'Athletics' 'Shooting' 'Cycling'
 'Wrestling' 'Rowing']"
668,1956,Summer,South Africa,50,50,"['Swimming' 'Boxing' 'Athletics' 'Sailing' 'Wrestling' 'Modern Pentathlon'
 'Cycling' 'Weightlifting' 'Shooting' 'Gymnastics']"
669,1956,Summer,South Korea,35,23,"['Basketball' 'Boxing' 'Athletics' 'Shooting' 'Cycling' 'Weightlifting'
 'Wrestling']"
670,1956,Summer,Spain,6,4,['Equestrianism']
671,1956,Summer,Sri Lanka,3,3,['Athletics' 'Boxing']
672,1956,Summer,Sweden,97,80,"['Athletics' 'Boxing' 'Wrestling' 'Cycling' 'Rowing' 'Equestrianism'
 'Shooting' 'Gymnastics' 'Sailing' 'Fencing' 'Diving' 'Weightlifting'
 'Canoeing' 'Modern Pentathlon' 'Swimming']"
673,1956,Summer,Switzerland,9,6,['Equestrianism']
674,1956,Summer,Taiwan,20,13,['Basketball' 'Weightlifting' 'Boxing' 'Athletics' 'Shooting']
675,1956,Summer,Thailand,35,14,['Basketball' 'Football' 'Sailing' 'Athletics' 'Boxing']
676,1956,Summer,Trinidad and Tobago,6,7,['Athletics' 'Weightlifting' 'Cycling']
677,1956,Summer,Turkey,19,20,['Wrestling' 'Equestrianism']
678,1956,Summer,England,197,113,"['Athletics' 'Hockey' 'Sailing' 'Canoeing' 'Cycling' 'Swimming' 'Football'
 'Weightlifting' 'Diving' 'Modern Pentathlon' 'Shooting' 'Fencing'
 'Rowing' 'Wrestling' 'Water Polo' 'Boxing' 'Equestrianism' 'Gymnastics']"
679,1956,Summer,USA,305,144,"['Wrestling' 'Weightlifting' 'Athletics' 'Modern Pentathlon' 'Fencing'
 'Rowing' 'Shooting' 'Cycling' 'Gymnastics' 'Hockey' 'Equestrianism'
 'Basketball' 'Boxing' 'Swimming' 'Sailing' 'Canoeing' 'Diving' 'Football'
 'Water Polo']"
680,1956,Summer,Uganda,3,5,['Athletics']
681,1956,Summer,Uruguay,21,8,['Basketball' 'Rowing' 'Cycling' 'Athletics' 'Fencing']
682,1956,Summer,Venezuela,22,16,['Shooting' 'Athletics' 'Cycling' 'Equestrianism' 'Boxing']
683,1956,Summer,Vietnam,6,4,['Cycling']
684,1956,Winter,Australia,8,11,['Alpine Skiing' 'Figure Skating' 'Speed Skating']
685,1956,Winter,Austria,60,20,"['Bobsleigh' 'Speed Skating' 'Ski Jumping' 'Nordic Combined'
 'Figure Skating' 'Alpine Skiing' 'Ice Hockey' 'Cross Country Skiing']"
686,1956,Winter,Belgium,4,5,['Bobsleigh' 'Alpine Skiing' 'Speed Skating']
687,1956,Winter,Bolivia,1,2,['Alpine Skiing']
688,1956,Winter,Bulgaria,7,7,['Alpine Skiing' 'Cross Country Skiing']
689,1956,Winter,Canada,35,19,"['Speed Skating' 'Alpine Skiing' 'Figure Skating' 'Ice Hockey'
 'Ski Jumping' 'Cross Country Skiing' 'Nordic Combined']"
690,1956,Winter,Chile,3,3,['Alpine Skiing']
691,1956,Winter,Czech Republic,41,18,"['Ice Hockey' 'Alpine Skiing' 'Ski Jumping' 'Cross Country Skiing'
 'Figure Skating' 'Speed Skating' 'Nordic Combined']"
692,1956,Winter,Finland,31,16,"['Alpine Skiing' 'Cross Country Skiing' 'Speed Skating' 'Ski Jumping'
 'Nordic Combined' 'Figure Skating']"
693,1956,Winter,France,32,17,"['Alpine Skiing' 'Cross Country Skiing' 'Bobsleigh' 'Figure Skating'
 'Speed Skating' 'Ski Jumping']"
694,1956,Winter,Germany,63,24,"['Cross Country Skiing' 'Ice Hockey' 'Alpine Skiing' 'Nordic Combined'
 'Ski Jumping' 'Figure Skating' 'Bobsleigh' 'Speed Skating']"
695,1956,Winter,Greece,3,3,['Alpine Skiing']
696,1956,Winter,Hungary,2,1,['Figure Skating']
697,1956,Winter,Iceland,7,7,['Alpine Skiing' 'Cross Country Skiing']
698,1956,Winter,Iran,3,3,['Alpine Skiing']
699,1956,Winter,Italy,65,22,"['Ice Hockey' 'Bobsleigh' 'Figure Skating' 'Cross Country Skiing'
 'Alpine Skiing' 'Speed Skating' 'Nordic Combined' 'Ski Jumping']"
700,1956,Winter,Japan,10,12,"['Speed Skating' 'Alpine Skiing' 'Cross Country Skiing' 'Ski Jumping'
 'Nordic Combined']"
701,1956,Winter,Lebanon,3,4,['Alpine Skiing' 'Cross Country Skiing']
702,1956,Winter,Liechtenstein,8,4,['Alpine Skiing' 'Bobsleigh']
703,1956,Winter,Netherlands,8,5,['Speed Skating' 'Figure Skating']
704,1956,Winter,Norway,45,20,"['Speed Skating' 'Bobsleigh' 'Alpine Skiing' 'Nordic Combined'
 'Cross Country Skiing' 'Ski Jumping']"
705,1956,Winter,Poland,51,17,"['Ice Hockey' 'Cross Country Skiing' 'Bobsleigh' 'Alpine Skiing'
 'Nordic Combined' 'Ski Jumping']"
706,1956,Winter,Romania,19,13,['Cross Country Skiing' 'Bobsleigh' 'Alpine Skiing' 'Ski Jumping']
707,1956,Winter,Russia,53,19,"['Cross Country Skiing' 'Alpine Skiing' 'Ice Hockey' 'Nordic Combined'
 'Speed Skating' 'Ski Jumping']"
708,1956,Winter,Republic of Serbia,17,13,['Cross Country Skiing' 'Alpine Skiing' 'Ski Jumping']
709,1956,Winter,South Korea,4,4,['Speed Skating']
710,1956,Winter,Spain,9,6,['Alpine Skiing' 'Bobsleigh' 'Figure Skating']
711,1956,Winter,Sweden,58,22,"['Bobsleigh' 'Speed Skating' 'Ice Hockey' 'Alpine Skiing'
 'Cross Country Skiing' 'Nordic Combined' 'Ski Jumping' 'Figure Skating']"
712,1956,Winter,Switzerland,59,19,"['Bobsleigh' 'Ice Hockey' 'Alpine Skiing' 'Figure Skating' 'Ski Jumping'
 'Cross Country Skiing' 'Speed Skating']"
713,1956,Winter,Turkey,4,3,['Alpine Skiing']
714,1956,Winter,England,41,19,"['Cross Country Skiing' 'Figure Skating' 'Bobsleigh' 'Alpine Skiing'
 'Speed Skating']"
715,1956,Winter,USA,67,21,"['Figure Skating' 'Ice Hockey' 'Alpine Skiing' 'Bobsleigh' 'Speed Skating'
 'Nordic Combined' 'Cross Country Skiing' 'Ski Jumping']"
716,1960,Summer,Afghanistan,12,13,['Wrestling' 'Athletics']
717,1960,Summer,Argentina,92,54,"['Cycling' 'Boxing' 'Shooting' 'Fencing' 'Modern Pentathlon' 'Football'
 'Sailing' 'Water Polo' 'Rowing' 'Gymnastics' 'Equestrianism' 'Swimming'
 'Athletics' 'Wrestling' 'Diving']"
718,1960,Summer,Australia,189,122,"['Rowing' 'Swimming' 'Cycling' 'Athletics' 'Fencing' 'Weightlifting'
 'Hockey' 'Sailing' 'Gymnastics' 'Boxing' 'Wrestling' 'Water Polo'
 'Canoeing' 'Equestrianism' 'Diving' 'Modern Pentathlon' 'Shooting']"
719,1960,Summer,Austria,103,81,"['Sailing' 'Modern Pentathlon' 'Gymnastics' 'Wrestling' 'Swimming'
 'Canoeing' 'Equestrianism' 'Cycling' 'Rowing' 'Weightlifting' 'Athletics'
 'Fencing' 'Shooting' 'Boxing' 'Diving']"
720,1960,Summer,The Bahamas,13,8,['Sailing' 'Athletics']
721,1960,Summer,Belgium,101,64,"['Fencing' 'Athletics' 'Boxing' 'Cycling' 'Hockey' 'Rowing' 'Gymnastics'
 'Water Polo' 'Weightlifting' 'Sailing' 'Canoeing' 'Swimming'
 'Equestrianism' 'Shooting' 'Wrestling' 'Modern Pentathlon']"
722,1960,Summer,Bermuda,9,4,['Sailing']
723,1960,Summer,Brazil,72,35,"['Basketball' 'Cycling' 'Weightlifting' 'Modern Pentathlon' 'Football'
 'Sailing' 'Boxing' 'Water Polo' 'Athletics' 'Equestrianism' 'Swimming'
 'Shooting' 'Rowing' 'Diving']"
724,1960,Summer,Bulgaria,98,66,"['Weightlifting' 'Football' 'Wrestling' 'Athletics' 'Basketball'
 'Gymnastics' 'Cycling' 'Shooting' 'Fencing' 'Canoeing' 'Equestrianism'
 'Boxing']"
725,1960,Summer,Canada,85,77,"['Rowing' 'Boxing' 'Weightlifting' 'Swimming' 'Cycling' 'Canoeing'
 'Shooting' 'Wrestling' 'Sailing' 'Athletics' 'Equestrianism' 'Diving'
 'Gymnastics' 'Fencing']"
726,1960,Summer,Chile,9,8,['Athletics' 'Boxing' 'Shooting']
727,1960,Summer,China,4,3,['Swimming' 'Shooting']
728,1960,Summer,Colombia,16,13,['Diving' 'Shooting' 'Cycling' 'Weightlifting' 'Fencing']
729,1960,Summer,Cuba,12,15,"['Boxing' 'Sailing' 'Athletics' 'Fencing' 'Swimming' 'Weightlifting'
 'Gymnastics' 'Wrestling']"
730,1960,Summer,Curacao,5,4,['Weightlifting']
731,1960,Summer,Czech Republic,116,75,"['Diving' 'Basketball' 'Gymnastics' 'Rowing' 'Athletics' 'Canoeing'
 'Cycling' 'Shooting' 'Equestrianism' 'Swimming' 'Wrestling' 'Boxing'
 'Weightlifting']"
732,1960,Summer,Denmark,100,46,"['Athletics' 'Rowing' 'Swimming' 'Football' 'Boxing' 'Wrestling' 'Cycling'
 'Equestrianism' 'Sailing' 'Hockey' 'Canoeing' 'Fencing' 'Diving'
 'Shooting' 'Modern Pentathlon']"
733,1960,Summer,Ethiopia,10,8,['Cycling' 'Athletics']
734,1960,Summer,Fiji,2,3,['Athletics']
735,1960,Summer,Finland,117,92,"['Boxing' 'Wrestling' 'Canoeing' 'Athletics' 'Gymnastics' 'Shooting'
 'Fencing' 'Sailing' 'Swimming' 'Rowing' 'Cycling' 'Diving'
 'Weightlifting' 'Modern Pentathlon']"
736,1960,Summer,France,238,120,"['Athletics' 'Canoeing' 'Basketball' 'Football' 'Fencing' 'Swimming'
 'Wrestling' 'Modern Pentathlon' 'Rowing' 'Hockey' 'Sailing' 'Gymnastics'
 'Cycling' 'Boxing' 'Water Polo' 'Equestrianism' 'Weightlifting'
 'Shooting' 'Diving']"
737,1960,Summer,Germany,293,148,"['Cycling' 'Athletics' 'Wrestling' 'Fencing' 'Weightlifting' 'Shooting'
 'Sailing' 'Swimming' 'Rowing' 'Modern Pentathlon' 'Water Polo'
 'Gymnastics' 'Hockey' 'Boxing' 'Diving' 'Canoeing' 'Equestrianism']"
738,1960,Summer,Ghana,13,12,['Athletics' 'Boxing']
739,1960,Summer,Greece,48,38,"['Athletics' 'Sailing' 'Shooting' 'Wrestling' 'Rowing' 'Swimming' 'Boxing'
 'Weightlifting']"
740,1960,Summer,Guyana,5,6,['Athletics' 'Boxing']
741,1960,Summer,Haiti,1,1,['Weightlifting']
742,1960,Summer,Hungary,183,107,"['Football' 'Athletics' 'Modern Pentathlon' 'Shooting' 'Canoeing'
 'Basketball' 'Fencing' 'Boxing' 'Rowing' 'Gymnastics' 'Water Polo'
 'Swimming' 'Weightlifting' 'Cycling' 'Diving' 'Wrestling' 'Sailing'
 'Equestrianism']"
743,1960,Summer,Iceland,9,11,['Athletics' 'Swimming']
744,1960,Summer,India,45,20,['Hockey' 'Football' 'Athletics' 'Wrestling' 'Shooting' 'Weightlifting']
745,1960,Summer,Indonesia,22,17,"['Boxing' 'Cycling' 'Sailing' 'Swimming' 'Athletics' 'Fencing'
 'Weightlifting' 'Shooting']"
746,1960,Summer,Iran,23,24,['Boxing' 'Wrestling' 'Weightlifting' 'Shooting' 'Athletics']
747,1960,Summer,Iraq,21,23,['Weightlifting' 'Boxing' 'Athletics' 'Wrestling' 'Cycling']
748,1960,Summer,Ireland,49,39,"['Fencing' 'Sailing' 'Equestrianism' 'Boxing' 'Cycling' 'Weightlifting'
 'Athletics' 'Wrestling']"
749,1960,Summer,Israel,23,28,"['Gymnastics' 'Athletics' 'Cycling' 'Weightlifting' 'Shooting' 'Swimming'
 'Fencing']"
750,1960,Summer,Italy,280,138,"['Basketball' 'Football' 'Water Polo' 'Rowing' 'Hockey' 'Athletics'
 'Shooting' 'Equestrianism' 'Cycling' 'Fencing' 'Swimming' 'Wrestling'
 'Boxing' 'Canoeing' 'Weightlifting' 'Sailing' 'Gymnastics' 'Diving'
 'Modern Pentathlon']"
751,1960,Summer,Japan,161,96,"['Wrestling' 'Hockey' 'Gymnastics' 'Equestrianism' 'Water Polo' 'Rowing'
 'Athletics' 'Swimming' 'Fencing' 'Weightlifting' 'Boxing' 'Sailing'
 'Basketball' 'Shooting' 'Diving' 'Cycling' 'Modern Pentathlon']"
752,1960,Summer,Kenya,27,13,['Hockey' 'Athletics' 'Sailing' 'Shooting']
753,1960,Summer,Lebanon,19,15,['Wrestling' 'Sailing' 'Weightlifting' 'Athletics' 'Fencing' 'Shooting']
754,1960,Summer,Liberia,4,5,['Athletics']
755,1960,Summer,Liechtenstein,5,6,['Athletics' 'Cycling' 'Shooting']
756,1960,Summer,Luxembourg,52,48,"['Cycling' 'Athletics' 'Gymnastics' 'Shooting' 'Boxing' 'Canoeing'
 'Fencing' 'Weightlifting' 'Swimming' 'Wrestling']"
757,1960,Summer,Malaysia,9,11,['Athletics' 'Shooting' 'Weightlifting' 'Swimming']
758,1960,Summer,Malta,10,6,['Sailing' 'Cycling' 'Swimming' 'Shooting']
759,1960,Summer,Mexico,69,55,"['Diving' 'Basketball' 'Weightlifting' 'Modern Pentathlon' 'Fencing'
 'Swimming' 'Sailing' 'Cycling' 'Shooting' 'Wrestling' 'Boxing'
 'Athletics' 'Rowing' 'Gymnastics']"
760,1960,Summer,Monaco,11,6,['Sailing' 'Fencing' 'Shooting']
761,1960,Summer,Morocco,47,45,"['Weightlifting' 'Boxing' 'Wrestling' 'Athletics' 'Shooting'
 'Modern Pentathlon' 'Fencing' 'Cycling' 'Gymnastics' 'Sailing']"
762,1960,Summer,Myanmar,10,9,['Sailing' 'Boxing' 'Athletics' 'Weightlifting' 'Swimming']
763,1960,Summer,Netherlands,110,54,"['Wrestling' 'Rowing' 'Athletics' 'Fencing' 'Swimming' 'Hockey' 'Cycling'
 'Boxing' 'Diving' 'Sailing' 'Gymnastics' 'Canoeing' 'Water Polo']"
764,1960,Summer,New Zealand,37,28,"['Hockey' 'Cycling' 'Athletics' 'Rowing' 'Weightlifting' 'Fencing'
 'Sailing' 'Wrestling' 'Equestrianism']"
765,1960,Summer,Nigeria,12,12,['Athletics' 'Boxing']
766,1960,Summer,Norway,40,39,"['Shooting' 'Sailing' 'Boxing' 'Wrestling' 'Athletics' 'Cycling'
 'Canoeing' 'Fencing' 'Rowing' 'Weightlifting' 'Gymnastics']"
767,1960,Summer,Pakistan,43,35,"['Hockey' 'Wrestling' 'Cycling' 'Weightlifting' 'Shooting' 'Athletics'
 'Boxing']"
768,1960,Summer,Panama,6,4,['Wrestling' 'Athletics' 'Weightlifting']
769,1960,Summer,Peru,31,8,['Shooting' 'Football' 'Rowing']
770,1960,Summer,Philippines,40,27,"['Basketball' 'Shooting' 'Athletics' 'Weightlifting' 'Swimming' 'Sailing'
 'Boxing']"
771,1960,Summer,Poland,185,108,"['Boxing' 'Swimming' 'Rowing' 'Equestrianism' 'Weightlifting' 'Athletics'
 'Football' 'Cycling' 'Hockey' 'Basketball' 'Wrestling' 'Gymnastics'
 'Fencing' 'Shooting' 'Canoeing' 'Diving' 'Modern Pentathlon']"
772,1960,Summer,Portugal,65,52,"['Athletics' 'Shooting' 'Fencing' 'Sailing' 'Wrestling' 'Equestrianism'
 'Gymnastics' 'Swimming' 'Rowing' 'Cycling' 'Weightlifting']"
773,1960,Summer,Puerto Rico,27,13,['Weightlifting' 'Basketball' 'Shooting' 'Athletics' 'Swimming' 'Fencing']
774,1960,Summer,Romania,98,65,"['Canoeing' 'Shooting' 'Fencing' 'Water Polo' 'Weightlifting' 'Athletics'
 'Equestrianism' 'Rowing' 'Wrestling' 'Cycling' 'Boxing' 'Gymnastics'
 'Swimming']"
775,1960,Summer,Russia,283,145,"['Boxing' 'Water Polo' 'Rowing' 'Wrestling' 'Swimming' 'Athletics'
 'Fencing' 'Gymnastics' 'Equestrianism' 'Cycling' 'Shooting'
 'Weightlifting' 'Diving' 'Canoeing' 'Sailing' 'Basketball'
 'Modern Pentathlon']"
776,1960,Summer,San Marino,9,5,['Shooting' 'Cycling' 'Wrestling']
777,1960,Summer,Republic of Serbia,116,64,"['Football' 'Swimming' 'Cycling' 'Athletics' 'Gymnastics' 'Canoeing'
 'Rowing' 'Shooting' 'Basketball' 'Wrestling' 'Sailing' 'Boxing' 'Fencing'
 'Water Polo']"
778,1960,Summer,South Africa,55,46,"['Water Polo' 'Boxing' 'Swimming' 'Sailing' 'Cycling' 'Athletics'
 'Wrestling' 'Shooting' 'Weightlifting' 'Gymnastics' 'Rowing'
 'Modern Pentathlon']"
779,1960,Summer,South Korea,35,38,"['Shooting' 'Wrestling' 'Boxing' 'Weightlifting' 'Cycling' 'Equestrianism'
 'Athletics' 'Gymnastics' 'Diving']"
780,1960,Summer,Spain,144,83,"['Athletics' 'Rowing' 'Sailing' 'Swimming' 'Hockey' 'Shooting'
 'Gymnastics' 'Cycling' 'Boxing' 'Basketball' 'Fencing' 'Wrestling'
 'Equestrianism' 'Canoeing' 'Modern Pentathlon' 'Weightlifting']"
781,1960,Summer,Sri Lanka,5,5,['Cycling' 'Athletics' 'Boxing' 'Swimming']
782,1960,Summer,Sudan,10,10,['Boxing' 'Weightlifting' 'Shooting' 'Athletics']
783,1960,Summer,Sweden,134,100,"['Fencing' 'Cycling' 'Gymnastics' 'Athletics' 'Swimming' 'Sailing'
 'Shooting' 'Rowing' 'Wrestling' 'Equestrianism' 'Boxing' 'Weightlifting'
 'Diving' 'Canoeing' 'Modern Pentathlon']"
784,1960,Summer,Switzerland,149,90,"['Shooting' 'Fencing' 'Boxing' 'Hockey' 'Cycling' 'Athletics' 'Swimming'
 'Gymnastics' 'Wrestling' 'Rowing' 'Sailing' 'Equestrianism'
 'Weightlifting' 'Canoeing' 'Diving' 'Modern Pentathlon']"
785,1960,Summer,Syria,74,34,"['Weightlifting' 'Gymnastics' 'Football' 'Athletics' 'Rowing' 'Water Polo'
 'Fencing' 'Wrestling' 'Shooting' 'Boxing' 'Equestrianism' 'Diving']"
786,1960,Summer,Taiwan,27,18,['Football' 'Boxing' 'Shooting' 'Athletics' 'Weightlifting' 'Swimming']
787,1960,Summer,Thailand,20,16,['Athletics' 'Shooting' 'Sailing' 'Boxing']
788,1960,Summer,Trinidad and Tobago,13,13,['Sailing' 'Athletics' 'Shooting' 'Cycling' 'Weightlifting']
789,1960,Summer,Tunisia,42,22,"['Football' 'Fencing' 'Athletics' 'Boxing' 'Cycling' 'Modern Pentathlon'
 'Shooting']"
790,1960,Summer,Turkey,49,41,['Wrestling' 'Athletics' 'Football' 'Sailing' 'Swimming' 'Equestrianism']
791,1960,Summer,England,253,130,"['Boxing' 'Sailing' 'Fencing' 'Athletics' 'Wrestling' 'Equestrianism'
 'Hockey' 'Cycling' 'Rowing' 'Swimming' 'Weightlifting' 'Canoeing'
 'Football' 'Gymnastics' 'Diving' 'Shooting' 'Modern Pentathlon']"
792,1960,Summer,USA,292,147,"['Athletics' 'Wrestling' 'Rowing' 'Boxing' 'Basketball' 'Fencing'
 'Gymnastics' 'Sailing' 'Canoeing' 'Modern Pentathlon' 'Cycling'
 'Swimming' 'Weightlifting' 'Water Polo' 'Equestrianism' 'Shooting'
 'Diving']"
793,1960,Summer,Uganda,10,11,['Athletics' 'Boxing']
794,1960,Summer,Uruguay,34,15,"['Rowing' 'Basketball' 'Equestrianism' 'Athletics' 'Cycling' 'Sailing'
 'Fencing' 'Boxing']"
795,1960,Summer,Venezuela,36,26,"['Boxing' 'Athletics' 'Shooting' 'Sailing' 'Cycling' 'Wrestling' 'Fencing'
 'Weightlifting' 'Swimming']"
796,1960,Summer,Vietnam,3,5,['Swimming' 'Fencing']
797,1960,Summer,Zimbabwe,14,17,['Swimming' 'Boxing' 'Sailing' 'Shooting' 'Diving' 'Athletics']
798,1960,Winter,Argentina,6,8,['Alpine Skiing' 'Cross Country Skiing']
799,1960,Winter,Australia,30,14,"['Ice Hockey' 'Figure Skating' 'Alpine Skiing' 'Speed Skating'
 'Nordic Combined' 'Cross Country Skiing']"
800,1960,Winter,Austria,26,15,"['Alpine Skiing' 'Figure Skating' 'Ski Jumping' 'Nordic Combined'
 'Speed Skating']"
801,1960,Winter,Bulgaria,7,7,['Alpine Skiing' 'Cross Country Skiing']
802,1960,Winter,Canada,44,22,"['Alpine Skiing' 'Ice Hockey' 'Ski Jumping' 'Figure Skating'
 'Speed Skating' 'Cross Country Skiing' 'Nordic Combined']"
803,1960,Winter,Chile,5,3,['Alpine Skiing']
804,1960,Winter,Czech Republic,21,6,['Ice Hockey' 'Cross Country Skiing' 'Figure Skating' 'Nordic Combined']
805,1960,Winter,Denmark,1,3,['Speed Skating']
806,1960,Winter,Finland,48,18,"['Cross Country Skiing' 'Ice Hockey' 'Ski Jumping' 'Speed Skating'
 'Nordic Combined' 'Biathlon']"
807,1960,Winter,France,26,21,"['Cross Country Skiing' 'Biathlon' 'Alpine Skiing' 'Figure Skating'
 'Speed Skating' 'Ski Jumping']"
808,1960,Winter,Germany,74,27,"['Ice Hockey' 'Figure Skating' 'Alpine Skiing' 'Speed Skating'
 'Ski Jumping' 'Cross Country Skiing' 'Nordic Combined' 'Biathlon']"
809,1960,Winter,Hungary,3,4,['Cross Country Skiing' 'Biathlon' 'Ski Jumping']
810,1960,Winter,Iceland,4,4,['Alpine Skiing' 'Ski Jumping']
811,1960,Winter,Italy,28,17,"['Alpine Skiing' 'Cross Country Skiing' 'Speed Skating' 'Ski Jumping'
 'Figure Skating' 'Nordic Combined']"
812,1960,Winter,Japan,41,20,"['Ice Hockey' 'Ski Jumping' 'Nordic Combined' 'Figure Skating'
 'Speed Skating' 'Alpine Skiing' 'Cross Country Skiing']"
813,1960,Winter,Lebanon,2,3,['Alpine Skiing']
814,1960,Winter,Liechtenstein,3,3,['Alpine Skiing']
815,1960,Winter,Netherlands,7,5,['Speed Skating' 'Figure Skating']
816,1960,Winter,New Zealand,4,6,['Alpine Skiing']
817,1960,Winter,Norway,29,17,"['Speed Skating' 'Ski Jumping' 'Alpine Skiing' 'Cross Country Skiing'
 'Nordic Combined' 'Biathlon']"
818,1960,Winter,Poland,13,11,['Cross Country Skiing' 'Nordic Combined' 'Speed Skating' 'Ski Jumping']
819,1960,Winter,Russia,62,22,"['Ice Hockey' 'Cross Country Skiing' 'Figure Skating' 'Alpine Skiing'
 'Speed Skating' 'Ski Jumping' 'Nordic Combined' 'Biathlon']"
820,1960,Winter,South Africa,4,2,['Figure Skating']
821,1960,Winter,South Korea,7,13,['Speed Skating' 'Alpine Skiing' 'Cross Country Skiing']
822,1960,Winter,Spain,4,6,['Alpine Skiing']
823,1960,Winter,Sweden,47,18,"['Biathlon' 'Cross Country Skiing' 'Ice Hockey' 'Speed Skating'
 'Nordic Combined' 'Ski Jumping']"
824,1960,Winter,Switzerland,21,12,['Alpine Skiing' 'Cross Country Skiing' 'Figure Skating' 'Ski Jumping']
825,1960,Winter,Turkey,2,3,['Alpine Skiing']
826,1960,Winter,England,17,16,"['Figure Skating' 'Alpine Skiing' 'Speed Skating' 'Cross Country Skiing'
 'Biathlon']"
827,1960,Winter,USA,79,25,"['Cross Country Skiing' 'Alpine Skiing' 'Speed Skating' 'Figure Skating'
 'Biathlon' 'Ice Hockey' 'Nordic Combined' 'Ski Jumping']"
828,1964,Summer,Afghanistan,8,8,['Wrestling']
829,1964,Summer,Algeria,1,7,['Gymnastics']
830,1964,Summer,Argentina,102,78,"['Cycling' 'Boxing' 'Shooting' 'Equestrianism' 'Football' 'Fencing'
 'Sailing' 'Swimming' 'Judo' 'Rowing' 'Athletics' 'Weightlifting'
 'Wrestling' 'Gymnastics']"
831,1964,Summer,Australia,243,133,"['Basketball' 'Swimming' 'Rowing' 'Athletics' 'Equestrianism' 'Cycling'
 'Boxing' 'Water Polo' 'Gymnastics' 'Judo' 'Fencing' 'Wrestling' 'Diving'
 'Canoeing' 'Weightlifting' 'Shooting' 'Sailing' 'Hockey'
 'Modern Pentathlon']"
832,1964,Summer,Austria,56,54,"['Athletics' 'Wrestling' 'Modern Pentathlon' 'Fencing' 'Swimming' 'Rowing'
 'Sailing' 'Boxing' 'Shooting' 'Weightlifting' 'Canoeing' 'Diving'
 'Gymnastics' 'Judo']"
833,1964,Summer,The Bahamas,11,6,['Athletics' 'Sailing']
834,1964,Summer,Belgium,61,36,"['Athletics' 'Hockey' 'Cycling' 'Fencing' 'Water Polo' 'Rowing'
 'Gymnastics' 'Shooting' 'Wrestling' 'Sailing' 'Weightlifting' 'Canoeing'
 'Swimming']"
