,Year,Season,region,Name,Event,Sport
63,1906,Summer,Egypt,2,5,['Wrestling' 'Cycling' 'Athletics']
64,1906,Summer,Finland,4,11,['Athletics' 'Wrestling']
65,1906,Summer,France,56,51,"['Cycling' 'Athletics' 'Rowing' 'Wrestling' 'Swimming' 'Gymnastics'
 'Shooting' 'Fencing' 'Tennis' 'Football' 'Weightlifting']"
66,1906,Summer,Germany,49,41,"['Gymnastics' 'Cycling' 'Swimming' 'Athletics' 'Tug-Of-War' 'Wrestling'
 'Fencing' 'Diving' 'Weightlifting']"
67,1906,Summer,Greece,320,70,"['Football' 'Rowing' 'Gymnastics' 'Cycling' 'Athletics' 'Weightlifting'
 'Fencing' 'Diving' 'Tennis' 'Shooting' 'Wrestling' 'Swimming'
 'Tug-Of-War']"
68,1906,Summer,Hungary,35,41,"['Fencing' 'Swimming' 'Gymnastics' 'Athletics' 'Wrestling' 'Shooting'
 'Tennis']"
69,1906,Summer,Italy,76,37,"['Swimming' 'Gymnastics' 'Rowing' 'Diving' 'Shooting' 'Athletics'
 'Weightlifting' 'Fencing' 'Cycling']"
70,1906,Summer,Netherlands,16,8,['Tennis' 'Fencing']
71,1906,Summer,Norway,32,12,['Gymnastics' 'Athletics' 'Shooting']
72,1906,Summer,Sweden,39,37,"['Diving' 'Swimming' 'Athletics' 'Shooting' 'Fencing' 'Tug-Of-War'
 'Cycling' 'Weightlifting']"
73,1906,Summer,Switzerland,9,14,['Shooting' 'Cycling' 'Athletics']
74,1906,Summer,Turkey,1,2,['Athletics']
75,1906,Summer,England,48,42,"['Athletics' 'Gymnastics' 'Cycling' 'Football' 'Diving' 'Swimming'
 'Fencing' 'Shooting' 'Rowing']"
76,1906,Summer,USA,38,28,['Athletics' 'Diving' 'Swimming' 'Tennis' 'Wrestling']
77,1908,Summer,Argentina,1,1,['Figure Skating']
78,1908,Summer,Australia,30,20,['Athletics' 'Diving' 'Boxing' 'Swimming' 'Rugby' 'Shooting']
79,1908,Summer,Austria,7,10,['Fencing' 'Tennis' 'Athletics' 'Swimming']
80,1908,Summer,Belgium,70,33,"['Fencing' 'Water Polo' 'Swimming' 'Athletics' 'Cycling' 'Gymnastics'
 'Rowing' 'Wrestling' 'Shooting' 'Diving' 'Sailing']"
81,1908,Summer,Canada,87,42,"['Cycling' 'Athletics' 'Rowing' 'Shooting' 'Lacrosse' 'Tennis' 'Wrestling'
 'Gymnastics' 'Fencing' 'Diving' 'Swimming']"
82,1908,Summer,Czech Republic,19,15,['Wrestling' 'Gymnastics' 'Fencing' 'Tennis' 'Athletics']
83,1908,Summer,Denmark,78,27,"['Athletics' 'Wrestling' 'Gymnastics' 'Football' 'Shooting' 'Fencing'
 'Swimming' 'Boxing']"
84,1908,Summer,Finland,62,23,['Diving' 'Swimming' 'Gymnastics' 'Shooting' 'Athletics' 'Wrestling']
85,1908,Summer,France,208,54,"['Football' 'Fencing' 'Athletics' 'Swimming' 'Shooting' 'Sailing' 'Boxing'
 'Hockey' 'Archery' 'Cycling' 'Gymnastics' 'Tennis' 'Motorboating']"
86,1908,Summer,Germany,82,41,"['Fencing' 'Swimming' 'Athletics' 'Diving' 'Cycling' 'Gymnastics' 'Hockey'
 'Figure Skating' 'Rowing' 'Tennis' 'Wrestling' 'Shooting']"
87,1908,Summer,Greece,20,25,['Athletics' 'Shooting' 'Cycling']
88,1908,Summer,Hungary,65,37,"['Gymnastics' 'Fencing' 'Swimming' 'Athletics' 'Rowing' 'Tennis'
 'Wrestling' 'Shooting']"
89,1908,Summer,Iceland,1,1,['Wrestling']
90,1908,Summer,Italy,66,30,"['Gymnastics' 'Athletics' 'Swimming' 'Fencing' 'Diving' 'Rowing' 'Cycling'
 'Wrestling']"
91,1908,Summer,Netherlands,113,45,"['Gymnastics' 'Football' 'Wrestling' 'Water Polo' 'Swimming' 'Cycling'
 'Athletics' 'Shooting' 'Rowing' 'Fencing' 'Tennis']"
92,1908,Summer,Norway,69,23,"['Gymnastics' 'Sailing' 'Fencing' 'Athletics' 'Shooting' 'Rowing'
 'Wrestling']"
93,1908,Summer,Russia,6,7,['Wrestling' 'Figure Skating' 'Athletics']
94,1908,Summer,South Africa,14,15,['Athletics' 'Cycling' 'Fencing' 'Tennis']
95,1908,Summer,Sweden,168,67,"['Tennis' 'Diving' 'Football' 'Tug-Of-War' 'Swimming' 'Athletics'
 'Wrestling' 'Water Polo' 'Shooting' 'Gymnastics' 'Fencing' 'Sailing'
 'Cycling' 'Figure Skating']"
96,1908,Summer,Switzerland,1,1,['Athletics']
