games;Sport;1896- Summer;1900- Summer;1904- Summer;1906- Summer;1908- Summer;1912- Summer;1920- Summer;1924- Summer;1924- Winter;1928- Summer;1928- Winter;1932- Summer;1932- Winter;1936- Summer;1936- Winter;1948- Summer;1948- Winter;1952- Summer;1952- Winter;1956- Summer;1956- Winter;1960- Summer;1960- Winter;1964- Summer;1964- Winter;1968- Summer;1968- Winter;1972- Summer;1972- Winter;1976- Summer;1976- Winter;1980- Summer;1980- Winter;1984- Summer;1984- Winter;1988- Summer;1988- Winter;1992- Summer;1992- Winter;1994- Winter;1996- Summer;1998- Winter;2000- Summer;2002- Winter;2004- Summer;2006- Winter;2008- Summer;2010- Winter;2012- Summer;2014- Winter;2016- Summer
0;Aeronautics;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1;Alpine Skiing;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;103.0;0.0;167.0;0.0;166.0;0.0;183.0;0.0;133.0;0.0;174.0;0.0;191.0;0.0;143.0;0.0;181.0;0.0;174.0;0.0;225.0;0.0;272.0;0.0;321.0;250.0;0.0;249.0;0.0;278.0;0.0;287.0;0.0;309.0;0.0;314.0;0.0
2;Alpinism;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;21.0;0.0;0.0;2.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3;Archery;0.0;23.0;29.0;0.0;57.0;0.0;30.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;95.0;0.0;64.0;0.0;67.0;0.0;109.0;0.0;146.0;0.0;136.0;0.0;0.0;128.0;0.0;128.0;0.0;128.0;0.0;128.0;0.0;128.0;0.0;128.0
4;Art Competitions;0.0;0.0;0.0;0.0;0.0;33.0;11.0;189.0;0.0;370.0;0.0;588.0;0.0;527.0;0.0;330.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5;Athletics;63.0;119.0;116.0;233.0;431.0;534.0;509.0;659.0;0.0;706.0;0.0;386.0;0.0;776.0;0.0;745.0;0.0;963.0;0.0;720.0;0.0;1016.0;0.0;1018.0;0.0;1029.0;0.0;1330.0;0.0;1006.0;0.0;960.0;0.0;1280.0;0.0;1617.0;0.0;1726.0;0.0;0.0;2057.0;0.0;2137.0;0.0;1995.0;0.0;2055.0;0.0;2078.0;0.0;2269.0
6;Badminton;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;177.0;0.0;0.0;192.0;0.0;171.0;0.0;172.0;0.0;173.0;0.0;172.0;0.0;172.0
7;Baseball;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;160.0;0.0;0.0;160.0;0.0;192.0;0.0;191.0;0.0;191.0;0.0;0.0;0.0;0.0
8;Basketball;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;199.0;0.0;287.0;0.0;294.0;0.0;169.0;0.0;192.0;0.0;189.0;0.0;191.0;0.0;190.0;0.0;213.0;0.0;215.0;0.0;213.0;0.0;236.0;0.0;236.0;0.0;0.0;284.0;0.0;286.0;0.0;287.0;0.0;287.0;0.0;287.0;0.0;281.0
9;Basque Pelota;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10;Beach Volleyball;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;84.0;0.0;96.0;0.0;96.0;0.0;96.0;0.0;96.0;0.0;96.0
11;Biathlon;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;30.0;0.0;51.0;0.0;72.0;0.0;62.0;0.0;74.0;0.0;76.0;0.0;95.0;0.0;90.0;0.0;196.0;193.0;0.0;183.0;0.0;190.0;0.0;204.0;0.0;204.0;0.0;204.0;0.0
12;Bobsleigh;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;39.0;0.0;116.0;0.0;41.0;0.0;95.0;0.0;71.0;0.0;70.0;0.0;101.0;0.0;0.0;0.0;81.0;0.0;90.0;0.0;79.0;0.0;92.0;0.0;78.0;0.0;111.0;0.0;135.0;0.0;159.0;155.0;0.0;156.0;0.0;195.0;0.0;150.0;0.0;159.0;0.0;172.0;0.0
13;Boxing;0.0;0.0;18.0;0.0;42.0;0.0;116.0;181.0;0.0;144.0;0.0;85.0;0.0;179.0;0.0;205.0;0.0;249.0;0.0;161.0;0.0;281.0;0.0;269.0;0.0;307.0;0.0;354.0;0.0;266.0;0.0;271.0;0.0;354.0;0.0;432.0;0.0;336.0;0.0;0.0;355.0;0.0;307.0;0.0;280.0;0.0;283.0;0.0;283.0;0.0;283.0
14;Canoeing;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;119.0;0.0;110.0;0.0;159.0;0.0;113.0;0.0;173.0;0.0;145.0;0.0;184.0;0.0;330.0;0.0;245.0;0.0;180.0;0.0;195.0;0.0;274.0;0.0;440.0;0.0;0.0;451.0;0.0;330.0;0.0;328.0;0.0;330.0;0.0;332.0;0.0;330.0
15;Cricket;0.0;24.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
16;Croquet;0.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
17;Cross Country Skiing;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;59.0;0.0;74.0;0.0;58.0;0.0;109.0;0.0;106.0;0.0;138.0;0.0;150.0;0.0;112.0;0.0;151.0;0.0;147.0;0.0;152.0;0.0;164.0;0.0;130.0;0.0;179.0;0.0;198.0;0.0;223.0;197.0;0.0;227.0;0.0;260.0;0.0;307.0;0.0;292.0;0.0;298.0;0.0
18;Curling;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;16.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;80.0;0.0;96.0;0.0;91.0;0.0;93.0;0.0;87.0;0.0
19;Cycling;19.0;72.0;18.0;45.0;97.0;123.0;103.0;139.0;0.0;149.0;0.0;66.0;0.0;175.0;0.0;188.0;0.0;215.0;0.0;161.0;0.0;297.0;0.0;303.0;0.0;329.0;0.0;359.0;0.0;295.0;0.0;230.0;0.0;359.0;0.0;422.0;0.0;451.0;0.0;0.0;477.0;0.0;462.0;0.0;464.0;0.0;508.0;0.0;501.0;0.0;513.0
20;Diving;0.0;0.0;5.0;24.0;39.0;57.0;53.0;71.0;0.0;61.0;0.0;28.0;0.0;69.0;0.0;63.0;0.0;76.0;0.0;60.0;0.0;75.0;0.0;80.0;0.0;81.0;0.0;91.0;0.0;80.0;0.0;67.0;0.0;80.0;0.0;89.0;0.0;100.0;0.0;0.0;122.0;0.0;157.0;0.0;129.0;0.0;140.0;0.0;136.0;0.0;136.0
21;Equestrianism;0.0;58.0;0.0;0.0;0.0;62.0;89.0;97.0;0.0;113.0;0.0;31.0;0.0;127.0;0.0;103.0;0.0;134.0;0.0;158.0;0.0;159.0;0.0;116.0;0.0;125.0;0.0;179.0;0.0;135.0;0.0;68.0;0.0;157.0;0.0;182.0;0.0;215.0;0.0;0.0;219.0;0.0;195.0;0.0;203.0;0.0;193.0;0.0;199.0;0.0;200.0
22;Fencing;15.0;259.0;11.0;62.0;131.0;185.0;149.0;240.0;0.0;259.0;0.0;108.0;0.0;311.0;0.0;294.0;0.0;286.0;0.0;165.0;0.0;344.0;0.0;259.0;0.0;275.0;0.0;299.0;0.0;281.0;0.0;187.0;0.0;262.0;0.0;317.0;0.0;305.0;0.0;0.0;224.0;0.0;217.0;0.0;222.0;0.0;234.0;0.0;244.0;0.0;245.0
23;Figure Skating;0.0;0.0;0.0;0.0;21.0;0.0;26.0;0.0;29.0;0.0;51.0;0.0;39.0;0.0;84.0;0.0;64.0;0.0;63.0;0.0;59.0;0.0;71.0;0.0;88.0;0.0;96.0;0.0;67.0;0.0;105.0;0.0;84.0;0.0;114.0;0.0;129.0;0.0;133.0;129.0;0.0;145.0;0.0;143.0;0.0;147.0;0.0;146.0;0.0;149.0;0.0
24;Football;0.0;35.0;36.0;45.0;72.0;163.0;190.0;279.0;0.0;219.0;0.0;0.0;0.0;201.0;0.0;218.0;0.0;294.0;0.0;143.0;0.0;235.0;0.0;214.0;0.0;273.0;0.0;269.0;0.0;202.0;0.0;256.0;0.0;246.0;0.0;270.0;0.0;272.0;0.0;0.0;388.0;0.0;391.0;0.0;425.0;0.0;469.0;0.0;467.0;0.0;473.0
25;Freestyle Skiing;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;71.0;97.0;0.0;110.0;0.0;105.0;0.0;116.0;0.0;172.0;0.0;262.0;0.0
26;Golf;0.0;22.0;77.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;120.0
27;Gymnastics;28.0;135.0;121.0;104.0;325.0;249.0;249.0;72.0;0.0;144.0;0.0;46.0;0.0;175.0;0.0;211.0;0.0;319.0;0.0;128.0;0.0;254.0;0.0;213.0;0.0;218.0;0.0;231.0;0.0;176.0;0.0;127.0;0.0;136.0;0.0;179.0;0.0;185.0;0.0;0.0;216.0;0.0;194.0;0.0;196.0;0.0;196.0;0.0;195.0;0.0;196.0
28;Handball;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;105.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;243.0;0.0;243.0;0.0;248.0;0.0;259.0;0.0;281.0;0.0;292.0;0.0;0.0;300.0;0.0;323.0;0.0;328.0;0.0;343.0;0.0;347.0;0.0;353.0
29;Hockey;0.0;0.0;0.0;0.0;68.0;0.0;51.0;0.0;0.0;137.0;0.0;40.0;0.0;167.0;0.0;187.0;0.0;157.0;0.0;173.0;0.0;236.0;0.0;226.0;0.0;251.0;0.0;263.0;0.0;172.0;0.0;187.0;0.0;286.0;0.0;314.0;0.0;314.0;0.0;0.0;320.0;0.0;350.0;0.0;351.0;0.0;387.0;0.0;386.0;0.0;390.0
30;Ice Hockey;0.0;0.0;0.0;0.0;0.0;0.0;60.0;0.0;82.0;0.0;124.0;0.0;48.0;0.0;173.0;0.0;139.0;0.0;147.0;0.0;169.0;0.0;152.0;0.0;270.0;0.0;250.0;0.0;208.0;0.0;217.0;0.0;239.0;0.0;239.0;0.0;265.0;0.0;267.0;268.0;0.0;426.0;0.0;468.0;0.0;442.0;0.0;420.0;0.0;443.0;0.0
31;Jeu De Paume;0.0;0.0;0.0;0.0;11.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
32;Judo;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;72.0;0.0;0.0;0.0;148.0;0.0;136.0;0.0;182.0;0.0;212.0;0.0;243.0;0.0;433.0;0.0;0.0;387.0;0.0;398.0;0.0;384.0;0.0;386.0;0.0;384.0;0.0;389.0
33;Lacrosse;0.0;0.0;36.0;0.0;24.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
34;Luge;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;68.0;0.0;85.0;0.0;83.0;0.0;94.0;0.0;80.0;0.0;81.0;0.0;90.0;0.0;89.0;92.0;0.0;93.0;0.0;110.0;0.0;108.0;0.0;107.0;0.0;108.0;0.0
35;Military Ski Patrol;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;24.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
36;Modern Pentathlon;0.0;0.0;0.0;0.0;0.0;32.0;23.0;38.0;0.0;37.0;0.0;25.0;0.0;42.0;0.0;45.0;0.0;51.0;0.0;40.0;0.0;60.0;0.0;37.0;0.0;48.0;0.0;59.0;0.0;47.0;0.0;43.0;0.0;52.0;0.0;65.0;0.0;66.0;0.0;0.0;32.0;0.0;48.0;0.0;64.0;0.0;72.0;0.0;72.0;0.0;72.0
37;Motorboating;0.0;0.0;0.0;0.0;14.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
38;Nordic Combined;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;30.0;0.0;35.0;0.0;33.0;0.0;51.0;0.0;39.0;0.0;25.0;0.0;36.0;0.0;33.0;0.0;32.0;0.0;41.0;0.0;40.0;0.0;34.0;0.0;31.0;0.0;28.0;0.0;44.0;0.0;46.0;53.0;0.0;53.0;0.0;54.0;0.0;59.0;0.0;52.0;0.0;54.0;0.0
39;Polo;0.0;20.0;0.0;0.0;12.0;0.0;17.0;24.0;0.0;0.0;0.0;0.0;0.0;21.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
40;Racquets;0.0;0.0;0.0;0.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
41;Rhythmic Gymnastics;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;33.0;0.0;39.0;0.0;42.0;0.0;0.0;90.0;0.0;84.0;0.0;84.0;0.0;95.0;0.0;95.0;0.0;96.0
