games;Sport;1896- Summer;1900- Summer;1904- Summer;1906- Summer;1908- Summer;1912- Summer;1920- Summer;1924- Summer;1924- Winter;1928- Summer;1928- Winter;1932- Summer;1932- Winter;1936- Summer;1936- Winter;1948- Summer;1948- Winter;1952- Summer;1952- Winter;1956- Summer;1956- Winter;1960- Summer;1960- Winter;1964- Summer;1964- Winter;1968- Summer;1968- Winter;1972- Summer;1972- Winter;1976- Summer;1976- Winter;1980- Summer;1980- Winter;1984- Summer;1984- Winter;1988- Summer;1988- Winter;1992- Summer;1992- Winter;1994- Winter;1996- Summer;1998- Winter;2000- Summer;2002- Winter;2004- Summer;2006- Winter;2008- Summer;2010- Winter;2012- Summer;2014- Winter;2016- Summer
42;Roque;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
43;Rowing;0.0;99.0;44.0;167.0;81.0;184.0;136.0;181.0;0.0;244.0;0.0;152.0;0.0;314.0;0.0;310.0;0.0;404.0;0.0;242.0;0.0;410.0;0.0;370.0;0.0;353.0;0.0;440.0;0.0;593.0;0.0;470.0;0.0;447.0;0.0;593.0;0.0;627.0;0.0;0.0;608.0;0.0;547.0;0.0;557.0;0.0;555.0;0.0;549.0;0.0;546.0
44;Rugby;0.0;47.0;0.0;0.0;30.0;0.0;31.0;54.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
45;Rugby Sevens;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;299.0
46;Sailing;0.0;96.0;0.0;0.0;64.0;109.0;101.0;65.0;0.0;127.0;0.0;54.0;0.0;172.0;0.0;186.0;0.0;227.0;0.0;154.0;0.0;290.0;0.0;225.0;0.0;251.0;0.0;323.0;0.0;257.0;0.0;156.0;0.0;300.0;0.0;375.0;0.0;441.0;0.0;0.0;458.0;0.0;402.0;0.0;400.0;0.0;400.0;0.0;379.0;0.0;380.0
47;Shooting;38.0;72.0;0.0;68.0;215.0;284.0;236.0;258.0;0.0;0.0;0.0;41.0;0.0;141.0;0.0;188.0;0.0;218.0;0.0;156.0;0.0;313.0;0.0;262.0;0.0;351.0;0.0;397.0;0.0;344.0;0.0;239.0;0.0;460.0;0.0;396.0;0.0;407.0;0.0;0.0;418.0;0.0;408.0;0.0;389.0;0.0;390.0;0.0;390.0;0.0;390.0
48;Short Track Speed Skating;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;86.0;87.0;0.0;93.0;0.0;110.0;0.0;106.0;0.0;109.0;0.0;106.0;0.0
49;Skeleton;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0;0.0;0.0;0.0;0.0;0.0;15.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;39.0;0.0;42.0;0.0;47.0;0.0;46.0;0.0
50;Ski Jumping;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;27.0;0.0;38.0;0.0;34.0;0.0;48.0;0.0;49.0;0.0;44.0;0.0;51.0;0.0;45.0;0.0;57.0;0.0;66.0;0.0;62.0;0.0;62.0;0.0;55.0;0.0;65.0;0.0;65.0;0.0;63.0;68.0;0.0;68.0;0.0;73.0;0.0;79.0;0.0;68.0;0.0;96.0;0.0
51;Snowboarding;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;125.0;0.0;118.0;0.0;187.0;0.0;185.0;0.0;237.0;0.0
52;Softball;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;120.0;0.0;120.0;0.0;118.0;0.0;120.0;0.0;0.0;0.0;0.0
53;Speed Skating;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;31.0;0.0;40.0;0.0;31.0;0.0;52.0;0.0;68.0;0.0;67.0;0.0;83.0;0.0;103.0;0.0;134.0;0.0;129.0;0.0;118.0;0.0;111.0;0.0;128.0;0.0;139.0;0.0;141.0;0.0;154.0;150.0;0.0;171.0;0.0;166.0;0.0;174.0;0.0;177.0;0.0;177.0;0.0
54;Swimming;13.0;76.0;32.0;43.0;100.0;120.0;116.0;169.0;0.0;182.0;0.0;128.0;0.0;248.0;0.0;249.0;0.0;319.0;0.0;235.0;0.0;380.0;0.0;405.0;0.0;468.0;0.0;532.0;0.0;471.0;0.0;333.0;0.0;494.0;0.0;633.0;0.0;641.0;0.0;0.0;759.0;0.0;954.0;0.0;937.0;0.0;1022.0;0.0;931.0;0.0;942.0
55;Synchronized Swimming;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;50.0;0.0;46.0;0.0;53.0;0.0;0.0;72.0;0.0;101.0;0.0;101.0;0.0;102.0;0.0;101.0;0.0;102.0
56;Table Tennis;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;129.0;0.0;159.0;0.0;0.0;166.0;0.0;171.0;0.0;172.0;0.0;171.0;0.0;174.0;0.0;172.0
57;Taekwondo;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;102.0;0.0;124.0;0.0;126.0;0.0;128.0;0.0;126.0
58;Tennis;13.0;26.0;36.0;27.0;50.0;80.0;75.0;124.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;129.0;0.0;177.0;0.0;0.0;176.0;0.0;182.0;0.0;170.0;0.0;169.0;0.0;184.0;0.0;196.0
59;Trampolining;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;24.0;0.0;32.0;0.0;32.0;0.0;32.0;0.0;32.0
60;Triathlon;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0;99.0;0.0;110.0;0.0;110.0;0.0;110.0
61;Tug-Of-War;0.0;12.0;30.0;32.0;40.0;16.0;40.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
