,Games,Sport,Sex,Name,Event,NOC
0,1896 Summer,Athletics,M,63,12,9
1,1896 Summer,Cycling,M,19,6,5
2,1896 Summer,Fencing,M,15,3,4
3,1896 Summer,Gymnastics,M,28,8,8
4,1896 Summer,Shooting,M,38,5,7
5,1896 Summer,Swimming,M,13,4,4
6,1896 Summer,Tennis,M,13,2,6
7,1896 Summer,Weightlifting,M,7,2,5
8,1896 Summer,Wrestling,M,5,1,4
9,1900 Summer,Archery,M,23,8,3
10,1900 Summer,Athletics,M,119,23,17
11,1900 Summer,Basque Pelota,M,2,1,1
12,1900 Summer,Cricket,M,24,1,2
13,1900 Summer,Croquet,F,3,2,1
14,1900 Summer,Croquet,M,7,3,1
15,1900 Summer,Cycling,M,72,3,7
16,1900 Summer,Equestrianism,F,2,1,2
17,1900 Summer,Equestrianism,M,56,5,8
18,1900 Summer,Fencing,M,259,7,19
19,1900 Summer,Football,M,35,1,4
20,1900 Summer,Golf,F,10,1,2
21,1900 Summer,Golf,M,12,1,4
22,1900 Summer,Gymnastics,M,135,1,8
23,1900 Summer,Polo,M,20,1,4
24,1900 Summer,Rowing,M,99,4,7
25,1900 Summer,Rugby,M,47,1,5
26,1900 Summer,Sailing,F,1,2,1
27,1900 Summer,Sailing,M,95,8,6
28,1900 Summer,Shooting,M,72,8,8
29,1900 Summer,Swimming,M,76,7,12
30,1900 Summer,Tennis,F,7,2,4
31,1900 Summer,Tennis,M,19,3,3
32,1900 Summer,Tug-Of-War,M,12,1,4
33,1900 Summer,Water Polo,M,53,1,5
34,1904 Summer,Archery,F,6,3,1
35,1904 Summer,Archery,M,23,3,1
36,1904 Summer,Athletics,M,116,24,11
37,1904 Summer,Boxing,M,18,7,1
38,1904 Summer,Cycling,M,18,7,2
39,1904 Summer,Diving,M,5,1,2
40,1904 Summer,Fencing,M,11,5,4
41,1904 Summer,Football,M,36,1,2
42,1904 Summer,Golf,M,77,2,3
43,1904 Summer,Gymnastics,M,121,12,5
44,1904 Summer,Lacrosse,M,36,1,2
45,1904 Summer,Roque,M,4,1,1
46,1904 Summer,Rowing,M,44,5,2
47,1904 Summer,Swimming,M,32,10,5
48,1904 Summer,Tennis,M,36,2,2
49,1904 Summer,Tug-Of-War,M,30,1,4
50,1904 Summer,Water Polo,M,21,1,1
51,1904 Summer,Weightlifting,M,5,2,3
52,1904 Summer,Wrestling,M,42,7,5
53,1906 Summer,Athletics,M,233,21,20
54,1906 Summer,Cycling,M,45,6,11
55,1906 Summer,Diving,M,24,1,7
56,1906 Summer,Fencing,M,62,8,12
57,1906 Summer,Football,M,45,1,4
58,1906 Summer,Gymnastics,M,104,4,9
59,1906 Summer,Rowing,M,167,6,6
60,1906 Summer,Shooting,M,68,12,12
61,1906 Summer,Swimming,M,43,4,11
62,1906 Summer,Tennis,F,6,2,2
63,1906 Summer,Tennis,M,21,3,6
64,1906 Summer,Tug-Of-War,M,32,1,4
65,1906 Summer,Weightlifting,M,13,2,7
66,1906 Summer,Wrestling,M,36,4,11
67,1908 Summer,Archery,F,25,1,1
68,1908 Summer,Archery,M,32,2,3
69,1908 Summer,Athletics,M,431,26,20
70,1908 Summer,Boxing,M,42,5,4
71,1908 Summer,Cycling,M,97,6,11
72,1908 Summer,Diving,M,39,2,9
73,1908 Summer,Fencing,M,131,4,14
74,1908 Summer,Figure Skating,F,7,2,3
75,1908 Summer,Figure Skating,M,14,3,6
76,1908 Summer,Football,M,72,1,5
77,1908 Summer,Gymnastics,M,325,2,13
78,1908 Summer,Hockey,M,68,1,3
79,1908 Summer,Jeu De Paume,M,11,1,2
80,1908 Summer,Lacrosse,M,24,1,2
81,1908 Summer,Motorboating,F,1,1,1
82,1908 Summer,Motorboating,M,13,3,2
83,1908 Summer,Polo,M,12,1,1
84,1908 Summer,Racquets,M,7,2,1
85,1908 Summer,Rowing,M,81,4,8
86,1908 Summer,Rugby,M,30,1,2
87,1908 Summer,Sailing,F,1,1,1
88,1908 Summer,Sailing,M,63,4,5
89,1908 Summer,Shooting,M,215,15,14
90,1908 Summer,Swimming,M,100,6,14
91,1908 Summer,Tennis,F,10,2,2
92,1908 Summer,Tennis,M,40,4,10
93,1908 Summer,Tug-Of-War,M,40,1,3
94,1908 Summer,Water Polo,M,28,1,4
95,1908 Summer,Wrestling,M,115,9,15
96,1912 Summer,Art Competitions,M,33,5,12
97,1912 Summer,Athletics,M,534,30,27
98,1912 Summer,Cycling,M,123,2,16
99,1912 Summer,Diving,F,14,1,3
100,1912 Summer,Diving,M,43,3,9
