,Year,Season,Team,NOC,Name,Event
168,1900,Summer,Pirouette-5,FRA,1,1
169,1900,Summer,Plume-Patte-5,FRA,1,1
170,1900,Summer,Plume-patte-32,FRA,1,1
171,1900,Summer,Pupilles de Neptune de Lille #1-3,BEL,1,1
172,1900,Summer,Pupilles de Neptune de Lille #1-3,FRA,6,1
173,1900,Summer,Pupilles de Neptune de Lille #2-1,FRA,8,1
174,1900,Summer,Pupilles de Neptune de Lille-1,FRA,4,1
175,1900,Summer,Quand-Mme-2,FRA,5,2
176,1900,Summer,Quand-Mme-33,FRA,4,1
177,1900,Summer,Racing Club de France,COL,1,1
178,1900,Summer,Racing Club de France,FRA,10,2
179,1900,Summer,Ral-Club Barcelona,ESP,5,1
180,1900,Summer,Romania,ROU,1,1
181,1900,Summer,Rowing Club Castillon-3,FRA,3,1
182,1900,Summer,Royal Club Nautique de Gand,BEL,9,2
183,1900,Summer,Rozenn-3,FRA,1,1
184,1900,Summer,Russia,RUS,3,2
185,1900,Summer,Russia-1,RUS,2,1
186,1900,Summer,Sarcelle-3,FRA,3,1
187,1900,Summer,Sarcelle-35,FRA,3,1
188,1900,Summer,Scamasaxe-2,FRA,2,1
189,1900,Summer,Scamasaxe-3,FRA,2,1
190,1900,Summer,Scamasaxe-34,FRA,2,1
191,1900,Summer,Scotia,GBR,3,2
192,1900,Summer,Sidi Fekkar-36,FRA,4,1
193,1900,Summer,Sidi-Fekkar-14,FRA,4,1
194,1900,Summer,Singy-37,FRA,2,1
195,1900,Summer,Singy-7,FRA,2,1
196,1900,Summer,Societ Nautique de la Marne,FRA,8,1
197,1900,Summer,Societ Nautique de la Marne-1,FRA,2,1
198,1900,Summer,Societ Nautique de la Marne-3,FRA,4,1
199,1900,Summer,Souriceau-38,FRA,1,1
200,1900,Summer,Souriceau-4,FRA,1,1
201,1900,Summer,Souvenance,FRA,1,1
202,1900,Summer,Spain,ESP,4,5
203,1900,Summer,Spain-1,ESP,1,1
204,1900,Summer,Stade Franais AC-2,FRA,2,1
205,1900,Summer,Suzon IV-39,FRA,1,1
206,1900,Summer,Suzon IV-5,FRA,1,1
207,1900,Summer,Sweden,SWE,10,15
208,1900,Summer,Switzerland,SUI,15,12
209,1900,Summer,Tornade-16,FRA,1,1
210,1900,Summer,Tournade-40,FRA,1,1
211,1900,Summer,Tritons Lillois-2,FRA,8,2
212,1900,Summer,Turquoise-1,FRA,1,1
213,1900,Summer,Turquoise-3,FRA,1,1
214,1900,Summer,USFSA,FRA,13,1
215,1900,Summer,Union des Socits Franais de Sports Athletiques,FRA,18,2
216,1900,Summer,Union des Socits Franais de Sports Athletiques,GBR,9,1
217,1900,Summer,Union des Socits Franais de Sports Athletiques,HAI,1,1
218,1900,Summer,Union des Socits Franais de Sports Athletiques,USA,1,1
219,1900,Summer,United States,USA,59,34
220,1900,Summer,United States/France,FRA,1,1
221,1900,Summer,United States/France,USA,1,1
222,1900,Summer,United States/Great Britain,GBR,2,2
223,1900,Summer,United States/Great Britain,USA,2,2
224,1900,Summer,Univ. of Brussels,BEL,9,1
225,1900,Summer,Univ. of Brussels,GBR,1,1
226,1900,Summer,Univ. of Brussels,NED,1,1
227,1900,Summer,Upton Park FC,GBR,11,1
228,1900,Summer,Verveine-19,FRA,1,1
229,1900,Summer,Verveine-41,FRA,1,1
230,1900,Summer,Vesper Boat Club,USA,9,1
231,1904,Summer,Atalanta Boat Club-1,USA,2,1
232,1904,Summer,Atalanta Boat Club-2,USA,2,1
233,1904,Summer,Australia,AUS,2,6
234,1904,Summer,Austria,AUT,2,6
235,1904,Summer,Boer Team,RSA,5,1
236,1904,Summer,Boston Archers,USA,4,1
237,1904,Summer,Canada,CAN,10,12
238,1904,Summer,"Central Turnverein, Chicago",USA,6,1
239,1904,Summer,Century Boat Club-1,USA,4,1
240,1904,Summer,Chicago Archers,USA,4,1
241,1904,Summer,Chicago Athletic Association,FRA,1,1
242,1904,Summer,Chicago Athletic Association,USA,4,1
243,1904,Summer,Chicago Athletic Association-2,USA,9,2
244,1904,Summer,Christian Brothers' College-1,USA,11,1
245,1904,Summer,Cincinnati Archers,USA,8,2
246,1904,Summer,"Concordia Turnverein, St Louis",USA,6,1
247,1904,Summer,Cuba,CUB,3,5
248,1904,Summer,"Davenport Turngemeinde, Davenport",USA,6,1
249,1904,Summer,France,FRA,1,1
250,1904,Summer,Galt Football Club,CAN,13,1
251,1904,Summer,Germany,GER,22,22
252,1904,Summer,Germany/United States,GER,1,1
253,1904,Summer,Germany/United States,USA,1,1
254,1904,Summer,Great Britain,GBR,6,4
255,1904,Summer,Greece,GRE,11,4
256,1904,Summer,Hungary,HUN,4,9
257,1904,Summer,Independent Rowing Club-3,USA,2,1
258,1904,Summer,Italy,ITA,1,1
259,1904,Summer,"La Salle Turnverein, Chicago",USA,6,1
260,1904,Summer,Milwaukee Athletic Club-1,USA,5,1
261,1904,Summer,"Milwaukee Turnverein, Milwaukee",USA,6,1
262,1904,Summer,Missouri Athletic Club-3,USA,8,2
263,1904,Summer,Mohawk Indians-2,CAN,12,1
264,1904,Summer,Mound City Rowing Club-2,USA,4,1
265,1904,Summer,New York Athletic Club,USA,5,1
266,1904,Summer,New York Athletic Club #1-1,USA,4,1
267,1904,Summer,New York Athletic Club #2-4,USA,4,1
268,1904,Summer,New York Athletic Club-1,USA,7,1
269,1904,Summer,New York Athletic Club-4,USA,5,1
270,1904,Summer,"New York Turnverein, New York",USA,6,1
271,1904,Summer,Newfoundland,NFL,1,1
272,1904,Summer,Norway,NOR,3,5
273,1904,Summer,"Norwegier Turnverein, Brooklyn",NOR,1,1
274,1904,Summer,"Norwegier Turnverein, Brooklyn",USA,5,1
275,1904,Summer,Pan-Hellenic Athletic Club,GRE,5,1
276,1904,Summer,"Passaic Turnverein, Passaic",USA,6,1
277,1904,Summer,"Philadelphia Turngemeinde, Philadelphia",AUT,1,1
278,1904,Summer,"Philadelphia Turngemeinde, Philadelphia",USA,5,1
279,1904,Summer,Potomac Archers,USA,4,1
280,1904,Summer,Ravenswood Boat Club-2,USA,2,1
281,1904,Summer,Seawanhaka Boat Club-1,USA,2,1
282,1904,Summer,"Socialer Turnverein, Detroit",USA,6,1
283,1904,Summer,South Africa,RSA,3,1
284,1904,Summer,"South St Louis Turnverein, St Louis",GER,1,1
285,1904,Summer,"South St Louis Turnverein, St Louis",USA,5,1
286,1904,Summer,St. Louis Amateur Athletic Association,USA,12,1
287,1904,Summer,St. Louis Southwest Turnverein #1-2,USA,5,1
288,1904,Summer,St. Louis Southwest Turnverein #2-3,GER,1,1
289,1904,Summer,St. Louis Southwest Turnverein #2-3,USA,4,1
290,1904,Summer,St. Rose-2,USA,12,1
291,1904,Summer,Switzerland,SUI,3,4
292,1904,Summer,Toronto Argonauts,CAN,9,1
293,1904,Summer,Trans-Mississippi Golf Association-2,USA,10,1
294,1904,Summer,"Turnverein Vorwrts, Chicago",GER,1,1
295,1904,Summer,"Turnverein Vorwrts, Chicago",USA,5,1
296,1904,Summer,"Turnverein Vorwrts, Cleveland",USA,6,1
297,1904,Summer,United States,USA,421,80
298,1904,Summer,United States Golf Association-3,USA,10,1
299,1904,Summer,United States-1,USA,2,1
300,1904,Summer,United States-10,USA,2,1
301,1904,Summer,United States-11,USA,2,1
302,1904,Summer,United States-12,USA,2,1
303,1904,Summer,United States-13,USA,2,1
304,1904,Summer,United States-14,USA,2,1
305,1904,Summer,United States-2,USA,2,1
306,1904,Summer,United States-3,USA,2,1
307,1904,Summer,United States-4,USA,2,1
308,1904,Summer,United States-5,USA,2,1
309,1904,Summer,United States-6,USA,2,1
310,1904,Summer,United States-7,USA,2,1
311,1904,Summer,United States-8,USA,2,1
312,1904,Summer,United States-9,USA,2,1
313,1904,Summer,Vesper Boat Club,USA,9,1
314,1904,Summer,Western Golf Association-1,USA,10,1
315,1904,Summer,Western Rowing Club-3,USA,6,2
316,1904,Summer,Winnipeg Shamrocks-1,CAN,12,1
317,1906,Summer,Athens-2,GRE,11,1
318,1906,Summer,Australia,AUS,4,9
319,1906,Summer,Austria,AUT,31,46
320,1906,Summer,Barion/Bari-2,ITA,3,1
321,1906,Summer,Belgium,BEL,14,20
322,1906,Summer,Bohemia,BOH,13,22
323,1906,Summer,Bucintoro Venezia,ITA,5,2
324,1906,Summer,Bucintoro Venezia-1,ITA,3,1
325,1906,Summer,Canada,CAN,3,4
326,1906,Summer,Crete,CRT,8,5
