,Year,Season,Team,NOC,Name,Event
546,1912,Summer,rn-2,FIN,5,1
547,1920,Summer,Ancora,GBR,4,1
548,1920,Summer,Antwerpia V,BEL,5,1
549,1920,Summer,Argentina,ARG,1,1
550,1920,Summer,Atlanta,NOR,9,1
551,1920,Summer,Australia,AUS,13,19
552,1920,Summer,Beatrijs III-1,NED,3,1
553,1920,Summer,Belgium,BEL,318,117
554,1920,Summer,Belgium-1,BEL,4,2
555,1920,Summer,Belgium-2,BEL,4,2
556,1920,Summer,Belgium-3,BEL,4,2
557,1920,Summer,Belgium-4,BEL,4,2
558,1920,Summer,Boreas-2,NED,2,1
559,1920,Summer,Brat,GBR,2,1
560,1920,Summer,Brazil,BRA,19,10
561,1920,Summer,Canada,CAN,52,39
562,1920,Summer,Chile,CHI,2,2
563,1920,Summer,Czechoslovakia,TCH,118,53
564,1920,Summer,Czechoslovakia-1,TCH,2,1
565,1920,Summer,Czechoslovakia-3,TCH,2,1
566,1920,Summer,Denmark,DEN,154,66
567,1920,Summer,Edelweiss II-1,BEL,3,1
568,1920,Summer,Egypt,EGY,18,11
569,1920,Summer,Eleda,NOR,7,1
570,1920,Summer,Elsie,SWE,4,1
571,1920,Summer,Estonia,EST,14,19
572,1920,Summer,Finland,FIN,63,51
573,1920,Summer,Fornebo,NOR,4,1
574,1920,Summer,France,FRA,298,110
575,1920,Summer,France-1,FRA,4,2
576,1920,Summer,France-2,FRA,4,2
577,1920,Summer,France-3,FRA,3,2
578,1920,Summer,Great Britain,GBR,225,79
579,1920,Summer,Great Britain-1,GBR,5,3
580,1920,Summer,Great Britain-2,GBR,6,3
581,1920,Summer,Great Britain-3,GBR,4,2
582,1920,Summer,Great Britain-4,GBR,2,1
583,1920,Summer,Greece,GRE,47,34
584,1920,Summer,Heira II,NOR,9,1
585,1920,Summer,India,IND,5,6
586,1920,Summer,Irene,NOR,5,1
587,1920,Summer,Italy,ITA,174,79
588,1920,Summer,Japan,JPN,15,15
589,1920,Summer,Jo,NOR,3,1
590,1920,Summer,Kullan,SWE,3,1
591,1920,Summer,Luxembourg,LUX,25,18
592,1920,Summer,Lyn-2,NOR,5,1
593,1920,Summer,Marmi II-1,NOR,3,1
594,1920,Summer,Monaco,MON,4,6
595,1920,Summer,Mosk II,NOR,7,1
596,1920,Summer,Netherlands,NED,122,56
597,1920,Summer,New Zealand,NZL,4,6
598,1920,Summer,Norway,NOR,134,67
599,1920,Summer,Oranje,NED,3,1
600,1920,Summer,Portugal,POR,13,7
601,1920,Summer,Rose Pompon,FRA,3,1
602,1920,Summer,Sif,SWE,4,1
603,1920,Summer,Sildra-1,NOR,4,1
604,1920,Summer,South Africa,RSA,38,33
605,1920,Summer,South Africa-1,RSA,2,1
606,1920,Summer,South Africa-2,RSA,2,1
607,1920,Summer,Spain,ESP,58,28
608,1920,Summer,Spain-1,ESP,2,1
609,1920,Summer,Spain-2,ESP,2,1
610,1920,Summer,Stella-2,NOR,3,1
611,1920,Summer,Suzy-2,BEL,3,1
612,1920,Summer,Sweden,SWE,247,96
613,1920,Summer,Sweden-1,SWE,4,2
614,1920,Summer,Sweden-2,SWE,4,2
615,1920,Summer,Switzerland,SUI,77,45
616,1920,Summer,Tan-Fe-Pah,BEL,3,1
617,1920,Summer,United States,USA,288,113
618,1920,Summer,Yugoslavia,YUG,15,1
619,1924,Summer,Aloha II,SWE,3,1
620,1924,Summer,Amolgavar,ESP,3,1
621,1924,Summer,Antwerpia V,BEL,5,1
622,1924,Summer,Argentina,ARG,72,37
623,1924,Summer,Argentina-1,ARG,2,1
624,1924,Summer,Argentina-2,ARG,2,1
625,1924,Summer,Australia,AUS,36,31
626,1924,Summer,Austria,AUT,49,27
627,1924,Summer,Belgium,BEL,165,78
628,1924,Summer,Belgium-1,BEL,3,2
