,Year,Season,NOC,Name,Event,Sport,region,notes
27,1980,Winter,AUS,9,13,['Alpine Skiing' 'Cross Country Skiing' 'Figure Skating' 'Speed Skating'],Australia,
28,1984,Summer,AUS,242,137,"['Shooting' 'Sailing' 'Athletics' 'Hockey' 'Water Polo' 'Rowing'
 'Gymnastics' 'Swimming' 'Fencing' 'Equestrianism' 'Archery' 'Canoeing'
 'Basketball' 'Wrestling' 'Synchronized Swimming' 'Boxing' 'Judo'
 'Cycling' 'Diving' 'Rhythmic Gymnastics' 'Modern Pentathlon'
 'Weightlifting']",Australia,
29,1984,Winter,AUS,10,15,"['Cross Country Skiing' 'Speed Skating' 'Alpine Skiing' 'Figure Skating'
 'Biathlon']",Australia,
30,1988,Summer,AUS,252,145,"['Shooting' 'Swimming' 'Gymnastics' 'Athletics' 'Rowing' 'Football'
 'Water Polo' 'Diving' 'Hockey' 'Sailing' 'Table Tennis' 'Archery'
 'Basketball' 'Judo' 'Wrestling' 'Equestrianism' 'Cycling' 'Tennis'
 'Fencing' 'Boxing' 'Canoeing' 'Weightlifting' 'Synchronized Swimming'
 'Modern Pentathlon']",Australia,
31,1988,Winter,AUS,19,20,"['Alpine Skiing' 'Figure Skating' 'Speed Skating' 'Bobsleigh'
 'Cross Country Skiing' 'Biathlon']",Australia,
32,1992,Summer,AUS,279,153,"['Diving' 'Shooting' 'Athletics' 'Cycling' 'Gymnastics' 'Canoeing'
 'Hockey' 'Rowing' 'Football' 'Swimming' 'Fencing' 'Water Polo' 'Judo'
 'Sailing' 'Basketball' 'Wrestling' 'Weightlifting' 'Tennis' 'Badminton'
 'Boxing' 'Equestrianism' 'Archery' 'Synchronized Swimming'
 'Modern Pentathlon' 'Table Tennis']",Australia,
33,1992,Winter,AUS,22,24,"['Short Track Speed Skating' 'Figure Skating' 'Freestyle Skiing'
 'Cross Country Skiing' 'Speed Skating' 'Alpine Skiing' 'Bobsleigh' 'Luge'
 'Biathlon']",Australia,
34,1994,Winter,AUS,25,26,"['Bobsleigh' 'Short Track Speed Skating' 'Figure Skating'
 'Freestyle Skiing' 'Cross Country Skiing' 'Alpine Skiing' 'Speed Skating'
 'Biathlon' 'Luge']",Australia,
35,1996,Summer,AUS,417,211,"['Shooting' 'Football' 'Athletics' 'Cycling' 'Swimming' 'Canoeing'
 'Hockey' 'Rowing' 'Diving' 'Sailing' 'Equestrianism' 'Badminton'
 'Basketball' 'Archery' 'Wrestling' 'Weightlifting' 'Softball' 'Judo'
 'Beach Volleyball' 'Boxing' 'Baseball' 'Gymnastics' 'Modern Pentathlon'
 'Table Tennis' 'Tennis' 'Fencing']",Australia,
36,1998,Winter,AUS,23,22,"['Bobsleigh' 'Short Track Speed Skating' 'Figure Skating'
 'Freestyle Skiing' 'Cross Country Skiing' 'Biathlon' 'Alpine Skiing'
 'Snowboarding']",Australia,
37,2000,Summer,AUS,617,270,"['Wrestling' 'Fencing' 'Athletics' 'Cycling' 'Football' 'Hockey'
 'Softball' 'Baseball' 'Basketball' 'Judo' 'Sailing' 'Handball' 'Canoeing'
 'Rowing' 'Badminton' 'Weightlifting' 'Volleyball' 'Shooting'
 'Equestrianism' 'Water Polo' 'Swimming' 'Taekwondo' 'Modern Pentathlon'
 'Table Tennis' 'Gymnastics' 'Boxing' 'Beach Volleyball'
 'Synchronized Swimming' 'Tennis' 'Archery' 'Trampolining' 'Diving'
 'Triathlon' 'Rhythmic Gymnastics']",Australia,
38,2002,Winter,AUS,25,20,"['Alpine Skiing' 'Freestyle Skiing' 'Short Track Speed Skating'
 'Figure Skating' 'Snowboarding']",Australia,
39,2004,Summer,AUS,470,219,"['Wrestling' 'Athletics' 'Swimming' 'Football' 'Volleyball' 'Hockey'
 'Softball' 'Equestrianism' 'Basketball' 'Baseball' 'Judo' 'Sailing'
 'Tennis' 'Canoeing' 'Shooting' 'Archery' 'Diving' 'Taekwondo' 'Fencing'
 'Cycling' 'Triathlon' 'Rhythmic Gymnastics' 'Rowing' 'Badminton'
 'Water Polo' 'Table Tennis' 'Boxing' 'Weightlifting' 'Beach Volleyball'
 'Trampolining' 'Modern Pentathlon' 'Synchronized Swimming' 'Gymnastics']",Australia,
40,2006,Winter,AUS,40,31,"['Snowboarding' 'Alpine Skiing' 'Freestyle Skiing' 'Cross Country Skiing'
 'Skeleton' 'Luge' 'Figure Skating' 'Short Track Speed Skating'
 'Bobsleigh' 'Biathlon']",Australia,
41,2008,Summer,AUS,432,219,"['Hockey' 'Athletics' 'Wrestling' 'Softball' 'Synchronized Swimming'
 'Basketball' 'Judo' 'Sailing' 'Shooting' 'Triathlon' 'Cycling' 'Swimming'
 'Rowing' 'Beach Volleyball' 'Water Polo' 'Boxing' 'Canoeing'
 'Equestrianism' 'Gymnastics' 'Football' 'Taekwondo' 'Badminton' 'Diving'
 'Modern Pentathlon' 'Table Tennis' 'Tennis' 'Archery' 'Fencing'
 'Rhythmic Gymnastics' 'Weightlifting' 'Trampolining']",Australia,
42,2010,Winter,AUS,40,32,"['Biathlon' 'Freestyle Skiing' 'Short Track Speed Skating'
 'Cross Country Skiing' 'Alpine Skiing' 'Snowboarding' 'Luge' 'Skeleton'
 'Bobsleigh' 'Figure Skating' 'Speed Skating']",Australia,
43,2012,Summer,AUS,405,208,"['Athletics' 'Synchronized Swimming' 'Basketball' 'Judo' 'Swimming'
 'Shooting' 'Triathlon' 'Hockey' 'Boxing' 'Archery' 'Beach Volleyball'
 'Water Polo' 'Sailing' 'Rowing' 'Canoeing' 'Cycling' 'Gymnastics'
 'Diving' 'Equestrianism' 'Badminton' 'Tennis' 'Volleyball'
 'Modern Pentathlon' 'Table Tennis' 'Trampolining' 'Weightlifting'
 'Taekwondo' 'Rhythmic Gymnastics' 'Wrestling']",Australia,
44,2014,Winter,AUS,60,47,"['Biathlon' 'Alpine Skiing' 'Freestyle Skiing' 'Cross Country Skiing'
 'Short Track Speed Skating' 'Snowboarding' 'Skeleton' 'Luge'
 'Speed Skating' 'Figure Skating' 'Bobsleigh']",Australia,
45,2016,Summer,AUS,420,194,"['Swimming' 'Athletics' 'Shooting' 'Rowing' 'Football' 'Basketball'
 'Cycling' 'Water Polo' 'Beach Volleyball' 'Triathlon' 'Hockey'
 'Rugby Sevens' 'Diving' 'Sailing' 'Judo' 'Canoeing' 'Equestrianism'
 'Badminton' 'Synchronized Swimming' 'Modern Pentathlon' 'Golf'
 'Trampolining' 'Tennis' 'Table Tennis' 'Wrestling' 'Archery' 'Taekwondo'
 'Boxing' 'Gymnastics' 'Rhythmic Gymnastics' 'Weightlifting']",Australia,
46,1896,Summer,AUT,3,8,['Swimming' 'Cycling' 'Fencing'],Austria,
47,1900,Summer,AUT,16,17,['Swimming' 'Fencing' 'Equestrianism' 'Athletics'],Austria,
48,1904,Summer,AUT,2,7,['Gymnastics' 'Swimming'],Austria,
49,1906,Summer,AUT,31,46,"['Tug-Of-War' 'Wrestling' 'Athletics' 'Swimming' 'Fencing' 'Shooting'
 'Cycling' 'Diving' 'Weightlifting']",Austria,
50,1908,Summer,AUT,7,10,['Fencing' 'Tennis' 'Athletics' 'Swimming'],Austria,
51,1912,Summer,AUT,85,46,"['Swimming' 'Wrestling' 'Modern Pentathlon' 'Shooting' 'Football'
 'Fencing' 'Water Polo' 'Rowing' 'Athletics' 'Cycling' 'Diving' 'Tennis']",Austria,
52,1924,Summer,AUT,49,27,"['Diving' 'Weightlifting' 'Boxing' 'Shooting' 'Wrestling' 'Fencing'
 'Athletics' 'Equestrianism']",Austria,
53,1924,Winter,AUT,4,3,['Figure Skating'],Austria,
54,1928,Summer,AUT,73,39,"['Weightlifting' 'Art Competitions' 'Fencing' 'Hockey' 'Swimming' 'Diving'
 'Cycling' 'Rowing' 'Boxing' 'Athletics' 'Equestrianism' 'Sailing'
 'Wrestling']",Austria,
55,1928,Winter,AUT,39,13,"['Figure Skating' 'Ski Jumping' 'Ice Hockey' 'Skeleton' 'Bobsleigh'
 'Speed Skating' 'Cross Country Skiing' 'Nordic Combined']",Austria,
56,1932,Summer,AUT,19,14,"['Art Competitions' 'Diving' 'Weightlifting' 'Wrestling' 'Athletics'
 'Fencing' 'Sailing']",Austria,
57,1932,Winter,AUT,7,6,"['Ski Jumping' 'Cross Country Skiing' 'Nordic Combined' 'Figure Skating'
 'Bobsleigh']",Austria,
58,1936,Summer,AUT,234,105,"['Cycling' 'Art Competitions' 'Sailing' 'Handball' 'Athletics' 'Fencing'
 'Rowing' 'Water Polo' 'Wrestling' 'Equestrianism' 'Canoeing'
 'Weightlifting' 'Football' 'Modern Pentathlon' 'Shooting' 'Gymnastics'
 'Swimming' 'Boxing' 'Diving']",Austria,
59,1936,Winter,AUT,60,15,"['Ski Jumping' 'Nordic Combined' 'Cross Country Skiing' 'Figure Skating'
 'Bobsleigh' 'Ice Hockey' 'Speed Skating' 'Alpine Skiing']",Austria,
60,1948,Summer,AUT,148,79,"['Boxing' 'Athletics' 'Hockey' 'Rowing' 'Shooting' 'Gymnastics'
 'Art Competitions' 'Weightlifting' 'Wrestling' 'Football' 'Canoeing'
 'Cycling' 'Diving' 'Fencing' 'Sailing' 'Swimming' 'Equestrianism']",Austria,
61,1948,Winter,AUT,54,20,"['Figure Skating' 'Ice Hockey' 'Cross Country Skiing' 'Alpine Skiing'
 'Nordic Combined' 'Ski Jumping' 'Skeleton' 'Speed Skating']",Austria,
62,1952,Summer,AUT,112,70,"['Swimming' 'Wrestling' 'Weightlifting' 'Athletics' 'Water Polo' 'Cycling'
 'Hockey' 'Sailing' 'Football' 'Gymnastics' 'Rowing' 'Shooting' 'Boxing'
 'Diving' 'Fencing' 'Canoeing']",Austria,
63,1952,Winter,AUT,39,20,"['Bobsleigh' 'Ski Jumping' 'Cross Country Skiing' 'Nordic Combined'
 'Alpine Skiing' 'Speed Skating' 'Figure Skating']",Austria,
64,1956,Summer,AUT,34,36,"['Cycling' 'Athletics' 'Wrestling' 'Sailing' 'Equestrianism' 'Canoeing'
 'Weightlifting' 'Rowing' 'Fencing' 'Diving' 'Boxing' 'Gymnastics']",Austria,
65,1956,Winter,AUT,60,20,"['Bobsleigh' 'Speed Skating' 'Ski Jumping' 'Nordic Combined'
 'Figure Skating' 'Alpine Skiing' 'Ice Hockey' 'Cross Country Skiing']",Austria,
66,1960,Summer,AUT,103,81,"['Sailing' 'Modern Pentathlon' 'Gymnastics' 'Wrestling' 'Swimming'
 'Canoeing' 'Equestrianism' 'Cycling' 'Rowing' 'Weightlifting' 'Athletics'
 'Fencing' 'Shooting' 'Boxing' 'Diving']",Austria,
67,1960,Winter,AUT,26,15,"['Alpine Skiing' 'Figure Skating' 'Ski Jumping' 'Nordic Combined'
 'Speed Skating']",Austria,
68,1964,Summer,AUT,56,54,"['Athletics' 'Wrestling' 'Modern Pentathlon' 'Fencing' 'Swimming' 'Rowing'
 'Sailing' 'Boxing' 'Shooting' 'Weightlifting' 'Canoeing' 'Diving'
 'Gymnastics' 'Judo']",Austria,
69,1964,Winter,AUT,83,29,"['Bobsleigh' 'Ice Hockey' 'Figure Skating' 'Ski Jumping' 'Biathlon'
 'Cross Country Skiing' 'Luge' 'Alpine Skiing' 'Nordic Combined'
 'Speed Skating']",Austria,
70,1968,Summer,AUT,43,37,"['Athletics' 'Fencing' 'Boxing' 'Wrestling' 'Rowing' 'Swimming' 'Sailing'
 'Shooting' 'Canoeing' 'Modern Pentathlon' 'Diving' 'Weightlifting']",Austria,
71,1968,Winter,AUT,76,28,"['Figure Skating' 'Ski Jumping' 'Luge' 'Alpine Skiing' 'Speed Skating'
 'Ice Hockey' 'Bobsleigh' 'Biathlon' 'Cross Country Skiing'
 'Nordic Combined']",Austria,
72,1972,Summer,AUT,111,68,"['Judo' 'Wrestling' 'Fencing' 'Rowing' 'Athletics' 'Equestrianism'
 'Boxing' 'Cycling' 'Sailing' 'Shooting' 'Canoeing' 'Weightlifting'
 'Modern Pentathlon' 'Diving' 'Swimming']",Austria,
73,1972,Winter,AUT,40,21,"['Figure Skating' 'Ski Jumping' 'Alpine Skiing' 'Speed Skating'
 'Bobsleigh' 'Luge' 'Cross Country Skiing' 'Nordic Combined']",Austria,
74,1976,Summer,AUT,60,44,"['Sailing' 'Fencing' 'Athletics' 'Shooting' 'Boxing' 'Diving'
 'Equestrianism' 'Weightlifting' 'Cycling' 'Judo' 'Wrestling' 'Swimming'
 'Rowing' 'Canoeing' 'Archery']",Austria,
75,1976,Winter,AUT,77,32,"['Ski Jumping' 'Bobsleigh' 'Alpine Skiing' 'Biathlon'
 'Cross Country Skiing' 'Luge' 'Ice Hockey' 'Speed Skating'
 'Figure Skating' 'Nordic Combined']",Austria,
76,1980,Summer,AUT,83,51,"['Rowing' 'Canoeing' 'Swimming' 'Judo' 'Hockey' 'Wrestling' 'Sailing'
 'Diving' 'Weightlifting' 'Athletics' 'Cycling' 'Equestrianism' 'Archery'
 'Shooting' 'Boxing' 'Modern Pentathlon']",Austria,
77,1980,Winter,AUT,43,18,"['Bobsleigh' 'Luge' 'Biathlon' 'Alpine Skiing' 'Ski Jumping'
 'Figure Skating']",Austria,
78,1984,Summer,AUT,102,72,"['Rowing' 'Canoeing' 'Shooting' 'Swimming' 'Weightlifting'
 'Modern Pentathlon' 'Fencing' 'Wrestling' 'Cycling' 'Equestrianism'
 'Synchronized Swimming' 'Sailing' 'Handball' 'Athletics' 'Judo' 'Boxing'
 'Diving' 'Archery']",Austria,
79,1984,Winter,AUT,65,27,"['Ice Hockey' 'Bobsleigh' 'Biathlon' 'Alpine Skiing' 'Speed Skating'
 'Ski Jumping' 'Luge' 'Cross Country Skiing' 'Nordic Combined']",Austria,
80,1988,Summer,AUT,73,62,"['Tennis' 'Wrestling' 'Shooting' 'Table Tennis' 'Rowing' 'Athletics'
 'Rhythmic Gymnastics' 'Sailing' 'Fencing' 'Swimming' 'Equestrianism'
 'Boxing' 'Cycling' 'Weightlifting' 'Diving' 'Judo' 'Modern Pentathlon']",Austria,
81,1988,Winter,AUT,81,40,"['Bobsleigh' 'Nordic Combined' 'Figure Skating' 'Cross Country Skiing'
 'Ice Hockey' 'Biathlon' 'Alpine Skiing' 'Speed Skating' 'Ski Jumping'
 'Luge']",Austria,
82,1992,Summer,AUT,102,68,"['Table Tennis' 'Rowing' 'Canoeing' 'Athletics' 'Sailing' 'Fencing'
 'Equestrianism' 'Judo' 'Handball' 'Swimming' 'Shooting' 'Badminton'
 'Cycling' 'Wrestling' 'Synchronized Swimming' 'Tennis' 'Diving']",Austria,
83,1992,Winter,AUT,58,38,"['Bobsleigh' 'Speed Skating' 'Alpine Skiing' 'Figure Skating'
 'Nordic Combined' 'Biathlon' 'Ski Jumping' 'Cross Country Skiing' 'Luge']",Austria,
84,1994,Winter,AUT,80,38,"['Alpine Skiing' 'Bobsleigh' 'Speed Skating' 'Ice Hockey' 'Biathlon'
 'Luge' 'Ski Jumping' 'Nordic Combined' 'Freestyle Skiing'
 'Cross Country Skiing']",Austria,
85,1996,Summer,AUT,72,53,"['Equestrianism' 'Rowing' 'Cycling' 'Table Tennis' 'Swimming' 'Athletics'
 'Fencing' 'Shooting' 'Diving' 'Badminton' 'Sailing' 'Judo' 'Canoeing'
 'Rhythmic Gymnastics' 'Tennis']",Austria,
86,1998,Winter,AUT,96,48,"['Bobsleigh' 'Nordic Combined' 'Ice Hockey' 'Speed Skating' 'Biathlon'
 'Alpine Skiing' 'Snowboarding' 'Cross Country Skiing' 'Luge'
 'Ski Jumping' 'Freestyle Skiing' 'Figure Skating']",Austria,
87,2000,Summer,AUT,92,68,"['Athletics' 'Equestrianism' 'Beach Volleyball' 'Judo' 'Handball'
 'Cycling' 'Taekwondo' 'Sailing' 'Table Tennis' 'Swimming' 'Triathlon'
 'Shooting' 'Diving' 'Rowing' 'Fencing' 'Canoeing' 'Tennis']",Austria,
88,2002,Winter,AUT,90,40,"['Alpine Skiing' 'Skeleton' 'Nordic Combined' 'Cross Country Skiing'
 'Ice Hockey' 'Luge' 'Snowboarding' 'Biathlon' 'Ski Jumping'
 'Freestyle Skiing' 'Bobsleigh' 'Speed Skating']",Austria,
89,2004,Summer,AUT,74,56,"['Triathlon' 'Equestrianism' 'Beach Volleyball' 'Athletics' 'Taekwondo'
 'Table Tennis' 'Wrestling' 'Sailing' 'Swimming' 'Cycling' 'Shooting'
 'Rowing' 'Judo' 'Fencing' 'Tennis' 'Canoeing' 'Diving' 'Weightlifting']",Austria,
90,2006,Winter,AUT,73,42,"['Nordic Combined' 'Cross Country Skiing' 'Alpine Skiing' 'Snowboarding'
 'Biathlon' 'Luge' 'Ski Jumping' 'Bobsleigh' 'Freestyle Skiing' 'Skeleton'
 'Figure Skating' 'Speed Skating']",Austria,
91,2008,Summer,AUT,70,62,"['Triathlon' 'Equestrianism' 'Tennis' 'Diving' 'Swimming'
 'Synchronized Swimming' 'Table Tennis' 'Sailing' 'Beach Volleyball'
 'Shooting' 'Judo' 'Athletics' 'Canoeing' 'Cycling' 'Fencing'
 'Rhythmic Gymnastics']",Austria,
92,2010,Winter,AUT,75,43,"['Alpine Skiing' 'Nordic Combined' 'Biathlon' 'Snowboarding' 'Skeleton'
 'Freestyle Skiing' 'Bobsleigh' 'Luge' 'Ski Jumping' 'Figure Skating'
 'Speed Skating' 'Cross Country Skiing' 'Short Track Speed Skating']",Austria,
93,2012,Summer,AUT,70,69,"['Equestrianism' 'Swimming' 'Synchronized Swimming' 'Table Tennis'
 'Athletics' 'Modern Pentathlon' 'Sailing' 'Beach Volleyball' 'Judo'
 'Cycling' 'Shooting' 'Gymnastics' 'Triathlon' 'Wrestling' 'Canoeing'
 'Badminton' 'Tennis' 'Fencing' 'Rhythmic Gymnastics']",Austria,
94,2014,Winter,AUT,126,70,"['Ice Hockey' 'Freestyle Skiing' 'Alpine Skiing' 'Nordic Combined'
 'Speed Skating' 'Ski Jumping' 'Snowboarding' 'Cross Country Skiing'
 'Biathlon' 'Luge' 'Skeleton' 'Figure Skating' 'Bobsleigh'
 'Short Track Speed Skating']",Austria,
95,2016,Summer,AUT,71,61,"['Synchronized Swimming' 'Judo' 'Swimming' 'Badminton' 'Archery' 'Diving'
 'Athletics' 'Sailing' 'Cycling' 'Beach Volleyball' 'Gymnastics'
 'Table Tennis' 'Triathlon' 'Shooting' 'Wrestling' 'Canoeing' 'Rowing'
 'Tennis' 'Weightlifting' 'Equestrianism' 'Fencing' 'Rhythmic Gymnastics'
 'Golf']",Austria,
96,1896,Summer,DEN,3,12,['Weightlifting' 'Gymnastics' 'Shooting' 'Athletics' 'Fencing'],Denmark,
97,1900,Summer,DEN,13,14,['Tug-Of-War' 'Fencing' 'Athletics' 'Shooting' 'Swimming'],Denmark,
98,1906,Summer,DEN,49,24,"['Football' 'Gymnastics' 'Cycling' 'Rowing' 'Wrestling' 'Athletics'
 'Swimming' 'Fencing']",Denmark,
99,1908,Summer,DEN,78,27,"['Athletics' 'Wrestling' 'Gymnastics' 'Football' 'Shooting' 'Fencing'
 'Swimming' 'Boxing']",Denmark,
100,1912,Summer,DEN,152,46,"['Rowing' 'Wrestling' 'Gymnastics' 'Shooting' 'Tennis' 'Athletics'
 'Fencing' 'Football' 'Cycling' 'Swimming' 'Sailing' 'Modern Pentathlon'
 'Equestrianism']",Denmark,
101,1920,Summer,DEN,154,66,"['Football' 'Gymnastics' 'Athletics' 'Shooting' 'Cycling' 'Boxing'
 'Modern Pentathlon' 'Fencing' 'Hockey' 'Tennis' 'Wrestling' 'Diving'
 'Rowing' 'Weightlifting']",Denmark,
102,1924,Summer,DEN,89,60,"['Cycling' 'Wrestling' 'Art Competitions' 'Tennis' 'Fencing'
 'Modern Pentathlon' 'Sailing' 'Shooting' 'Diving' 'Athletics'
 'Equestrianism' 'Boxing' 'Swimming']",Denmark,
103,1928,Summer,DEN,91,55,"['Fencing' 'Wrestling' 'Sailing' 'Athletics' 'Hockey' 'Swimming' 'Boxing'
 'Equestrianism' 'Rowing' 'Cycling' 'Art Competitions' 'Modern Pentathlon'
 'Diving' 'Weightlifting']",Denmark,
104,1932,Summer,DEN,43,34,"['Athletics' 'Cycling' 'Swimming' 'Fencing' 'Art Competitions' 'Wrestling'
 'Boxing' 'Diving' 'Weightlifting']",Denmark,
105,1936,Summer,DEN,121,71,"['Athletics' 'Diving' 'Boxing' 'Swimming' 'Fencing' 'Rowing' 'Sailing'
 'Art Competitions' 'Hockey' 'Cycling' 'Wrestling' 'Equestrianism'
 'Shooting' 'Canoeing']",Denmark,
106,1948,Summer,DEN,162,83,"['Equestrianism' 'Fencing' 'Rowing' 'Canoeing' 'Swimming' 'Cycling'
 'Sailing' 'Diving' 'Athletics' 'Hockey' 'Art Competitions' 'Shooting'
 'Gymnastics' 'Wrestling' 'Football' 'Boxing' 'Weightlifting']",Denmark,
107,1948,Winter,DEN,2,2,['Figure Skating' 'Speed Skating'],Denmark,
108,1952,Summer,DEN,129,73,"['Equestrianism' 'Canoeing' 'Swimming' 'Cycling' 'Football' 'Fencing'
 'Sailing' 'Boxing' 'Rowing' 'Athletics' 'Shooting' 'Diving' 'Wrestling'
 'Gymnastics' 'Weightlifting']",Denmark,
109,1952,Winter,DEN,1,1,['Figure Skating'],Denmark,
110,1956,Summer,DEN,37,29,"['Equestrianism' 'Boxing' 'Sailing' 'Canoeing' 'Swimming' 'Rowing'
 'Shooting' 'Cycling' 'Fencing' 'Diving' 'Athletics']",Denmark,
111,1960,Summer,DEN,100,46,"['Athletics' 'Rowing' 'Swimming' 'Football' 'Boxing' 'Wrestling' 'Cycling'
 'Equestrianism' 'Sailing' 'Hockey' 'Canoeing' 'Fencing' 'Diving'
 'Shooting' 'Modern Pentathlon']",Denmark,
112,1960,Winter,DEN,1,3,['Speed Skating'],Denmark,
113,1964,Summer,DEN,60,40,"['Athletics' 'Sailing' 'Boxing' 'Rowing' 'Cycling' 'Canoeing' 'Wrestling'
 'Swimming' 'Shooting' 'Diving']",Denmark,
114,1964,Winter,DEN,2,5,['Cross Country Skiing' 'Speed Skating'],Denmark,
115,1968,Summer,DEN,64,53,"['Canoeing' 'Cycling' 'Sailing' 'Wrestling' 'Rowing' 'Shooting' 'Boxing'
 'Athletics' 'Swimming' 'Gymnastics' 'Modern Pentathlon']",Denmark,
116,1968,Winter,DEN,3,4,['Cross Country Skiing'],Denmark,
117,1972,Summer,DEN,126,73,"['Football' 'Handball' 'Archery' 'Canoeing' 'Athletics' 'Rowing'
 'Shooting' 'Fencing' 'Cycling' 'Sailing' 'Gymnastics' 'Weightlifting'
 'Swimming' 'Boxing' 'Modern Pentathlon' 'Equestrianism' 'Wrestling']",Denmark,
118,1976,Summer,DEN,66,40,"['Rowing' 'Handball' 'Sailing' 'Gymnastics' 'Cycling' 'Boxing' 'Shooting'
 'Swimming' 'Equestrianism' 'Archery' 'Athletics' 'Weightlifting'
 'Fencing' 'Canoeing' 'Modern Pentathlon']",Denmark,
119,1980,Summer,DEN,58,30,"['Sailing' 'Handball' 'Cycling' 'Rowing' 'Shooting' 'Boxing' 'Athletics'
 'Wrestling' 'Weightlifting' 'Canoeing' 'Fencing' 'Swimming' 'Diving']",Denmark,
