,Year,Season,NOC,Name,Event,Sport,region,notes
0,1896,Summer,AUS,1,5,['Tennis' 'Athletics'],Australia,
1,1900,Summer,AUS,2,6,['Swimming' 'Athletics'],Australia,
2,1904,Summer,AUS,2,6,['Swimming' 'Athletics'],Australia,
3,1906,Summer,AUS,4,9,['Athletics' 'Swimming'],Australia,
4,1920,Summer,AUS,13,19,['Swimming' 'Diving' 'Cycling' 'Athletics' 'Tennis'],Australia,
5,1924,Summer,AUS,36,31,"['Wrestling' 'Athletics' 'Tennis' 'Swimming' 'Cycling' 'Rowing' 'Diving'
 'Boxing' 'Art Competitions']",Australia,
6,1924,Winter,AUS,1,1,['Alpinism'],Australia,
7,1928,Summer,AUS,18,26,['Swimming' 'Wrestling' 'Athletics' 'Cycling' 'Diving' 'Rowing'],Australia,
8,1932,Summer,AUS,13,17,['Athletics' 'Swimming' 'Cycling' 'Rowing' 'Art Competitions' 'Wrestling'],Australia,
9,1936,Summer,AUS,32,26,['Athletics' 'Boxing' 'Rowing' 'Swimming' 'Wrestling' 'Cycling' 'Diving'],Australia,
10,1936,Winter,AUS,1,3,['Speed Skating'],Australia,
11,1948,Summer,AUS,75,52,"['Swimming' 'Wrestling' 'Athletics' 'Boxing' 'Cycling' 'Rowing'
 'Water Polo' 'Weightlifting' 'Shooting' 'Sailing' 'Diving']",Australia,
12,1952,Summer,AUS,81,67,"['Swimming' 'Rowing' 'Sailing' 'Weightlifting' 'Water Polo'
 'Modern Pentathlon' 'Athletics' 'Cycling' 'Wrestling' 'Diving' 'Fencing'
 'Boxing']",Australia,
13,1952,Winter,AUS,9,10,['Alpine Skiing' 'Figure Skating' 'Cross Country Skiing' 'Speed Skating'],Australia,
14,1956,Summer,AUS,298,143,"['Athletics' 'Rowing' 'Shooting' 'Football' 'Swimming' 'Canoeing'
 'Weightlifting' 'Hockey' 'Equestrianism' 'Diving' 'Boxing' 'Water Polo'
 'Gymnastics' 'Cycling' 'Fencing' 'Basketball' 'Sailing'
 'Modern Pentathlon' 'Wrestling']",Australia,
15,1956,Winter,AUS,8,11,['Alpine Skiing' 'Figure Skating' 'Speed Skating'],Australia,
16,1960,Summer,AUS,189,122,"['Rowing' 'Swimming' 'Cycling' 'Athletics' 'Fencing' 'Weightlifting'
 'Hockey' 'Sailing' 'Gymnastics' 'Boxing' 'Wrestling' 'Water Polo'
 'Canoeing' 'Equestrianism' 'Diving' 'Modern Pentathlon' 'Shooting']",Australia,
17,1960,Winter,AUS,30,14,"['Ice Hockey' 'Figure Skating' 'Alpine Skiing' 'Speed Skating'
 'Nordic Combined' 'Cross Country Skiing']",Australia,
18,1964,Summer,AUS,243,133,"['Basketball' 'Swimming' 'Rowing' 'Athletics' 'Equestrianism' 'Cycling'
 'Boxing' 'Water Polo' 'Gymnastics' 'Judo' 'Fencing' 'Wrestling' 'Diving'
 'Canoeing' 'Weightlifting' 'Shooting' 'Sailing' 'Hockey'
 'Modern Pentathlon']",Australia,
19,1964,Winter,AUS,5,6,['Alpine Skiing'],Australia,
20,1968,Summer,AUS,128,105,"['Swimming' 'Sailing' 'Equestrianism' 'Athletics' 'Diving' 'Gymnastics'
 'Cycling' 'Boxing' 'Canoeing' 'Hockey' 'Rowing' 'Shooting' 'Fencing'
 'Wrestling' 'Modern Pentathlon' 'Weightlifting']",Australia,
21,1968,Winter,AUS,3,7,['Speed Skating' 'Cross Country Skiing' 'Alpine Skiing'],Australia,
22,1972,Summer,AUS,168,110,"['Wrestling' 'Sailing' 'Cycling' 'Hockey' 'Rowing' 'Athletics'
 'Water Polo' 'Modern Pentathlon' 'Basketball' 'Fencing' 'Judo' 'Swimming'
 'Shooting' 'Weightlifting' 'Gymnastics' 'Boxing' 'Archery' 'Canoeing'
 'Diving' 'Equestrianism']",Australia,
23,1972,Winter,AUS,4,7,['Alpine Skiing' 'Speed Skating'],Australia,
24,1976,Summer,AUS,180,115,"['Archery' 'Wrestling' 'Sailing' 'Athletics' 'Equestrianism' 'Diving'
 'Basketball' 'Hockey' 'Fencing' 'Cycling' 'Shooting' 'Water Polo' 'Judo'
 'Rowing' 'Gymnastics' 'Swimming' 'Boxing' 'Weightlifting' 'Canoeing'
 'Modern Pentathlon']",Australia,
25,1976,Winter,AUS,8,13,['Figure Skating' 'Alpine Skiing' 'Speed Skating'],Australia,
26,1980,Summer,AUS,120,92,"['Basketball' 'Athletics' 'Modern Pentathlon' 'Canoeing' 'Gymnastics'
 'Fencing' 'Rowing' 'Cycling' 'Swimming' 'Wrestling' 'Water Polo' 'Judo'
 'Diving' 'Archery' 'Weightlifting' 'Shooting' 'Boxing']",Australia,
